event_date,f1_name,f2_name,weight_class,model_prob_f1,model_prob_f2,base_confidence,adjusted_confidence,prediction_correct,fighter1_odds,fighter2_odds,is_favorite,f1_top1_striking_volume_control,f1_top2_striking_differential,f1_top3_striking_accuracy,f2_top1_striking_volume_control,f2_top2_recent_control_time_diff_last_3,f2_top3_avg_beaten_opponent_win_rate
2025-08-02,Austin Bashi,John Yannis,Featherweight,0.8666939064860344,0.1333060935139656,0.7333878129720688,0.7333878129720688,True,-1150,730,True,0.5227272727272728,-1.3999999999999997,0.46,0.0,0.0,0.0
2025-08-09,Elijah Smith,Toshiomi Kazama,Bantamweight,0.8475769758224487,0.15242302417755127,0.6951539516448975,0.6951539516448975,True,-820,570,True,1.0,0.0,0.4123711340206185,0.289855072463768,35.333333333333336,0.0
2025-12-06,Antonio Trocoli,Mansur Abdul-Malik,Middleweight,0.15649370849132538,0.8435062915086746,0.6870125830173492,0.6870125830173492,True,980,-1800,False,0.2417582417582418,-2.3,0.4352941176470588,1.9197530864197536,-18.666666666666668,0.2
2025-08-02,Felipe Bunes,Rafael Estevam,Flyweight,0.1704995557665825,0.8295004442334175,0.659000888466835,0.659000888466835,True,490,-670,False,0.5454545454545455,-2.25,0.4175824175824176,0.2710280373831775,504.0,0.5727272727272728
2025-01-18,Jailton Almeida,Serghei Spivac,Heavyweight,0.8331420123577118,0.1668579876422882,0.6662840247154236,0.6363808095573078,True,-450,350,True,6.937931034482758,2.1525,0.5873484262125903,0.8873096446700507,45.333333333333336,0.6190476190476191
2025-11-15,Angela Hill,Fatima Kline,Women's Strawweight,0.1518459990620613,0.8481540009379387,0.6963080018758774,0.6266649756551963,True,440,-590,False,1.1127413520811047,0.5269047619047624,0.491572059935515,1.795321637426901,-66.66666666666667,0.4166666666666666
2025-02-01,Damir Hadzovic,Terrance McKinney,Lightweight,0.1788506582379341,0.8211493417620659,0.6422986835241318,0.6233600179642509,True,430,-590,False,0.9973614775725592,-0.0074074074074075,0.4574051526871956,2.1818181818181817,5.0,0.125
2025-09-06,Brendson Ribeiro,Oumar Sy,Light Heavyweight,0.1668364629149437,0.8331635370850563,0.6663270741701126,0.6154105648997548,True,420,-560,False,0.6705202312138729,-1.1399999999999997,0.4315535949585657,1.850746268656716,212.0,0.3888888888888888
2025-11-22,Arman Tsarukyan,Dan Hooker,Lightweight,0.8611816912889481,0.13881830871105194,0.7223633825778961,0.6140088751912117,True,-750,530,True,2.4342955622576476,2.017575757575758,0.5190862347878897,1.08447888027993,26.666666666666668,0.6025641025641025
2025-08-09,Joselyne Edwards,Priscila Cachoeira,Women's Bantamweight,0.784272812306881,0.21572718769311905,0.5685456246137619,0.5685456246137619,True,-420,330,True,1.509803921568627,1.5599999999999987,0.5467451874186354,0.6410810810810811,-404.0,0.5
2025-10-25,Mario Bautista,Umar Nurmagomedov,Bantamweight,0.2196049839258194,0.7803950160741806,0.5607900321483612,0.5607900321483612,True,460,-620,False,1.4004893964110932,1.3638888888888894,0.4861542380297652,2.7756448710257957,302.0,0.59375
2025-11-01,Donte Johnson,Sedriques Dumas,Middleweight,0.8401365950703621,0.1598634049296379,0.6802731901407242,0.5530100954216376,True,-350,280,True,2.0,0.5,0.5555555555555556,0.5730550284629982,65.0,0.2948717948717949
2025-10-04,Josh Emmett,Youssef Zalal,Featherweight,0.13911928236484528,0.8608807176351547,0.7217614352703094,0.5522802544864732,True,360,-460,False,0.8923643054277829,-0.4159999999999999,0.3565965710123742,1.7303370786516856,28.666666666666668,0.4821969696969697
2025-10-25,Chris Barnett,Hamdy Abdelwahab,Heavyweight,0.15790050476789474,0.8420994952321053,0.6841989904642105,0.5418057766520155,True,340,-430,False,0.5862068965517242,-2.32,0.4554723427832671,0.7772277227722774,151.66666666666666,0.5
2025-03-22,Carlos Ulberg,Jan Blachowicz,Light Heavyweight,0.8276824727654457,0.1723175272345543,0.6553649455308914,0.5369261887340326,True,-330,265,True,1.8916408668730649,2.4,0.6115505368856977,1.2201822744683664,-168.66666666666666,0.0
2025-08-09,Gabriella Fernandes,Julija Stoliarenko,Women's Flyweight,0.7625850886106491,0.2374149113893509,0.5251701772212982,0.5251701772212982,True,-450,350,True,0.6112852664576802,-2.0666666666666673,0.4418197926807735,0.5400843881856541,-64.66666666666667,0.5
2025-11-15,Erin Blanchfield,Tracy Cortez,Women's Flyweight,0.7513546571135521,0.2486453428864479,0.5027093142271042,0.5027093142271042,True,-330,265,True,1.3984944718889671,1.4116666666666662,0.5007248893046599,1.38477366255144,-32.666666666666664,0.6328671328671329
2025-11-22,Nurullo Aliev,Shem Rock,Lightweight,0.8718794137239456,0.12812058627605438,0.7437588274478912,0.4983749731898126,True,-320,260,True,1.5882352941176472,0.6666666666666667,0.4099747474747475,0.8627450980392156,0.0,0.0
