Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-09-06,Andreas Gustafsson,Rinat Fakhretdinov,Yes,47.2,69.2,12.3,0.3846,112,No,No,-1.0
2025-08-16,Carlos Prates,Geoff Neal,No,66.7,71.3,4.6,0.4252,-200,Yes,Yes,0.5
2025-08-16,Drakkar Klose,Edson Barboza,Yes,51.0,52.6,1.6,0.0519,-104,Yes,Yes,0.96
2025-08-16,Karine Silva,Dione Barbosa,No,66.7,69.8,3.1,0.3961,-200,Yes,Yes,0.5
2025-08-09,Iasmin Lucindo,Angela Hill,No,63.2,70.1,6.8,0.4012,-172,Yes,Yes,0.58
2025-08-09,Christian Rodriguez,Andre Fili,Yes,32.8,78.3,6.9,0.5658,205,No,No,-1.0
2025-08-09,Cody Brundage,Eric McConico,Yes,34.5,85.4,15.7,0.7081,190,No,No,-1.0
2025-08-02,Chris Duncan,Mateusz Rebecki,Yes,33.6,53.8,20.2,0.0754,198,Yes,Yes,1.98
2025-08-02,Nick Klein,Andrey Pulyaev,No,55.8,74.2,26.1,0.4843,-126,No,No,-1.0
2025-07-19,Max Holloway,Dustin Poirier,No,55.0,61.9,6.9,0.2377,-122,Yes,Yes,0.82
2025-07-19,Brendan Allen,Marvin Vettori,No,72.6,72.9,0.3,0.458,-265,Yes,Yes,0.38
2025-06-28,Ilia Topuria,Charles Oliveira,No,80.2,80.8,0.6,0.6153,-405,Yes,Yes,0.25
2025-06-28,Joshua Van,Brandon Royval,No,54.5,64.8,10.3,0.2967,-120,Yes,Yes,0.83
2025-06-28,Renato Moicano,Beneil Dariush,No,52.8,58.3,7.3,0.1662,-112,No,No,-1.0
2025-06-28,Felipe Lima,Payton Talbott,Yes,40.7,70.1,6.6,0.4026,146,No,No,-1.0
2025-06-28,Tracy Cortez,Viviane Araujo,No,67.7,71.0,3.3,0.4201,-210,Yes,Yes,0.48
2025-06-21,Ignacio Bahamondes,Rafael Fiziev,Yes,44.6,77.0,17.9,0.5392,124,No,No,-1.0
2025-06-21,Myktybek Orolbai,Tofiq Musayev,No,65.0,88.0,23.0,0.7602,-186,Yes,Yes,0.54
2025-06-21,Bogdan Grad,Muhammad Naimov,No,71.4,74.5,41.7,0.4906,-250,No,No,-1.0
2025-06-21,Daria Zhelezniakova,Melissa Mullins,Yes,32.8,51.2,18.4,0.0241,205,Yes,Yes,2.05
2025-06-21,Irina Alekseeva,Klaudia Sygula,Yes,33.3,72.7,1.7,0.4535,200,No,No,-1.0
2025-06-14,Miranda Maverick,Rose Namajunas,No,71.0,71.8,38.5,0.4369,-245,No,No,-1.0
2025-06-14,Andre Petroski,Edmen Shahbazyan,No,62.7,53.0,11.7,0.0609,-168,No,No,-1.0
2025-06-14,Cody Durden,Jose Ochoa,No,67.2,50.4,13.7,0.0089,-205,No,No,-1.0
2025-06-07,MarQuel Mederos,Mark Choinski,No,60.6,78.1,17.5,0.5622,-154,Yes,Yes,0.65
2025-05-17,Michael Morales,Gilbert Burns,No,82.8,92.1,9.3,0.8413,-480,Yes,Yes,0.21
2025-05-17,Mairon Santos,Sodiq Yusuff,No,59.7,70.0,10.3,0.3993,-148,Yes,Yes,0.68
2025-05-10,Jack Della Maddalena,Belal Muhammad,Yes,37.6,63.9,26.3,0.2777,166,Yes,Yes,1.66
2025-05-10,Valentina Shevchenko,Manon Fiorot,Yes,46.3,52.3,6.0,0.0467,116,Yes,Yes,1.16
2025-05-10,Aiemann Zahabi,Jose Aldo,Yes,38.5,52.4,14.0,0.0488,160,Yes,Yes,1.6
2025-05-10,Natalia Silva,Alexa Grasso,No,70.1,80.5,10.4,0.6102,-235,Yes,Yes,0.43
2025-05-10,Mike Malott,Charles Radtke,No,66.7,66.9,0.2,0.3379,-200,Yes,Yes,0.5
2025-05-10,Ion Cutelaba,Modestas Bukauskas,Yes,51.5,54.8,2.4,0.0954,-106,No,No,-1.0
2025-05-10,Bruno Silva,Marc-Andre Barriault,No,61.8,57.2,14.8,0.143,-162,No,No,-1.0
2025-05-10,Brad Katona,Bekzat Almakhan,No,58.7,72.0,26.5,0.44,-142,No,No,-1.0
2025-05-03,Reinier de Ridder,Bo Nickal,Yes,25.3,58.3,33.0,0.1667,295,Yes,Yes,2.95
2025-05-03,Daniel Rodriguez,Santiago Ponzinibbio,Yes,45.9,62.2,16.3,0.2437,118,Yes,Yes,1.18
2025-05-03,Montel Jackson,Daniel Marcos,No,69.2,74.7,5.5,0.4944,-225,Yes,Yes,0.44
2025-05-03,Cameron Smotherman,Serhiy Sidey,No,58.0,68.5,22.7,0.3709,-138,No,No,-1.0
2025-05-03,Yana Santos,Miesha Tate,Yes,43.9,51.2,7.4,0.0244,128,Yes,Yes,1.28
2025-05-03,Gaston Bolanos,Quang Le,Yes,48.1,59.2,3.5,0.1847,108,No,No,-1.0
2025-04-26,Giga Chikadze,David Onama,No,66.4,50.9,13.3,0.0177,-198,No,No,-1.0
2025-04-26,John Castaneda,Chris Gutierrez,No,59.7,53.6,9.4,0.0729,-148,No,No,-1.0
2025-04-05,Lerone Murphy,Josh Emmett,No,76.2,76.6,0.4,0.5326,-320,Yes,Yes,0.31
2025-04-05,Joanderson Brito,Pat Sabatini,Yes,36.8,69.3,2.1,0.3858,172,No,No,-1.0
2025-04-05,Gerald Meerschaert,Brad Tavares,No,62.4,53.7,12.1,0.0747,-166,No,No,-1.0
2025-04-05,Ode Osbourne,Luis Gurule,Yes,32.3,55.9,23.7,0.1183,210,Yes,Yes,2.1
2025-04-05,Rhys McKee,Daniel Frunza,Yes,49.0,64.1,15.0,0.2811,104,Yes,Yes,1.04
2025-03-29,Manuel Torres,Drew Dober,No,55.4,73.1,17.7,0.462,-124,Yes,Yes,0.81
2025-03-22,Sean Brady,Leon Edwards,No,56.9,60.6,3.7,0.2123,-132,Yes,Yes,0.76
2025-03-22,Carlos Ulberg,Jan Blachowicz,No,76.7,80.5,3.7,0.6091,-330,Yes,Yes,0.3
2025-03-22,Kevin Holland,Gunnar Nelson,Yes,48.1,65.5,17.5,0.3107,108,Yes,Yes,1.08
2025-03-22,Chris Duncan,Jordan Vucenic,Yes,27.4,54.1,26.7,0.0811,265,Yes,Yes,2.65
2025-03-22,Nathaniel Wood,Morgan Charriere,Yes,50.5,54.1,3.6,0.0817,-102,Yes,Yes,0.98
2025-03-22,Chris Padilla,Jai Herbert,Yes,47.6,76.3,28.6,0.5251,110,Yes,Yes,1.1
2025-03-22,Mick Parkin,Marcin Tybura,Yes,41.3,67.3,4.6,0.3464,142,No,No,-1.0
2025-03-22,Nathan Fletcher,Caolan Loughran,Yes,43.1,83.8,22.8,0.6757,132,No,No,-1.0
2025-03-15,Roman Dolidze,Marvin Vettori,Yes,43.5,61.2,17.7,0.2232,130,Yes,Yes,1.3
2025-03-15,Chidi Njokuani,Elizeu Zaleski dos Santos,Yes,37.9,56.6,18.7,0.1319,164,Yes,Yes,1.64
2025-03-01,Cody Brundage,Julian Marquez,No,53.7,73.4,19.7,0.4685,-116,Yes,Yes,0.86
2025-02-22,Song Yadong,Henry Cejudo,No,71.8,79.5,7.7,0.5902,-255,Yes,Yes,0.39
2025-02-22,Jean Matsumoto,Rob Font,Yes,37.3,67.3,0.6,0.346,168,No,No,-1.0
2025-02-22,Julius Walker,Alonzo Menifield,No,70.1,68.2,34.2,0.3641,-235,No,No,-1.0
2025-02-22,Ibo Aslan,Ion Cutelaba,Yes,35.7,72.7,4.5,0.4544,180,No,No,-1.0
2025-02-22,Melquizael Costa,Andre Fili,No,58.7,62.2,3.5,0.244,-142,Yes,Yes,0.7
2025-02-22,Ricky Simon,Javid Basharat,Yes,31.7,50.2,18.4,0.0039,215,Yes,Yes,2.15
2025-02-22,Austin Vanderford,Nikolay Veretennikov,Yes,49.5,63.3,13.8,0.2657,102,Yes,Yes,1.02
2025-02-15,Gregory Rodrigues,Jared Cannonier,Yes,34.0,71.3,0.7,0.4266,194,No,No,-1.0
2025-02-15,Youssef Zalal,Calvin Kattar,No,81.8,83.0,1.1,0.6593,-450,Yes,Yes,0.22
2025-02-15,Andre Petroski,Rodolfo Vieira,Yes,31.2,50.3,19.1,0.0066,220,Yes,Yes,2.2
2025-02-08,Dricus Du Plessis,Sean Strickland,No,68.8,80.4,11.7,0.6081,-220,Yes,Yes,0.45
2025-02-08,Tatiana Suarez,Zhang Weili,Yes,44.6,60.8,1.4,0.2154,124,No,No,-1.0
2025-02-08,Francisco Prado,Jake Matthews,No,71.0,56.3,23.0,0.1261,-245,No,No,-1.0
2025-02-08,Jack Jenkins,Gabriel Santos,No,69.2,57.8,23.1,0.1561,-225,No,No,-1.0
2025-02-08,Tom Nolan,Viacheslav Borshchev,Yes,50.5,79.8,29.3,0.5954,-102,Yes,Yes,0.98
2025-02-08,Rongzhu,Kody Steele,Yes,26.3,71.7,45.4,0.4338,280,Yes,Yes,2.8
2025-02-08,Jonathan Micallef,Kevin Jousset,Yes,35.7,51.0,15.3,0.02,180,Yes,Yes,1.8
2025-02-01,Nassourdine Imavov,Israel Adesanya,Yes,42.7,64.9,22.2,0.2983,134,Yes,Yes,1.34
2025-02-01,Shara Magomedov,Michael Page,Yes,37.9,72.8,6.6,0.4567,164,No,No,-1.0
2025-02-01,Vinicius Oliveira,Said Nurmagomedov,Yes,34.7,52.0,17.2,0.0391,188,Yes,Yes,1.88
2025-02-01,Fares Ziam,Mike Davis,Yes,45.0,71.8,26.7,0.4351,122,Yes,Yes,1.22
2025-02-01,Muhammad Naimov,Kaan Ofli,No,79.6,79.8,0.2,0.5963,-390,Yes,Yes,0.26
2025-02-01,Jamal Pogues,Hamdy Abdelwahab,No,59.7,51.4,7.1,0.027,-148,No,No,-1.0
2025-01-18,Jamahal Hill,Jiri Prochazka,Yes,49.5,55.1,0.5,0.1012,102,No,No,-1.0
2025-01-18,Reinier de Ridder,Kevin Holland,No,57.6,59.9,2.2,0.1974,-136,Yes,Yes,0.74
2025-01-18,Ailin Perez,Karol Rosa,Yes,32.8,57.8,25.0,0.1557,205,Yes,Yes,2.05
