age,height_cm,weight_lbs,reach_inches,age_in_prime,age_past_prime,stance_orthodox,stance_southpaw,stance_switch,sig_strikes_landed_per_min,striking_accuracy,striking_defense,striking_differential,defensive_efficiency,striking_volume_control,distance_accuracy_last_3,clinch_accuracy_last_3,ground_output_per_min_last_3,leg_strike_rate_last_3,knockdowns_last_3,striking_accuracy_last_3,sig_strikes_landed_per_min_last_3,head_strike_rate_last_3,body_strike_rate_last_3,ground_strike_rate_last_3,distance_strike_rate_last_3,distance_accuracy_lifetime,clinch_accuracy_lifetime,ground_output_per_min_lifetime,leg_strike_rate_lifetime,knockdowns_lifetime,head_strike_rate_lifetime,body_strike_rate_lifetime,ground_strike_rate_lifetime,distance_strike_rate_lifetime,sig_strikes_landed_per_min_lifetime,striking_accuracy_lifetime,takedown_avg_per_15min,takedown_accuracy,takedown_defense,submission_avg_per_15min,total_fights,wins,losses,draws,has_fight_history,finish_rate,ko_rate,submission_rate,decision_rate,title_fight_experience,avg_fight_duration_rounds,first_round_finish_rate,first_round_ko_rate,early_finish_rate_last_3,early_finish_rate_last_5,round_3_fight_rate,round_3_win_rate,round_3_finish_rate,round_3_performance_score,win_rate_last_3,finish_rate_last_3,ko_rate_last_3,win_rate_last_5,finish_rate_last_5,ko_rate_last_5,performance_trend,athleticism_decline,current_win_streak,current_loss_streak,fights_in_last_year,activity_rate,days_since_last_fight,days_between_last_2_fights,long_layoff_over_1yr,long_layoff_over_2yr,fights_since_last_win,years_since_last_win,has_ever_won,losses_since_last_win,decision_losses_since_last_win,finish_losses_since_last_win,recent_vs_career_win_rate,win_rate_last_3_years,wins_last_3_years,losses_last_3_years,finish_rate_last_3_years,recent_losses_last_2,recent_finish_losses_last_2,recent_finish_loss_last_fight,recent_finish_loss_ratio_last_2,time_decayed_win_rate,time_decayed_finish_rate,time_decayed_ko_rate,avg_opponent_win_rate,avg_beaten_opponent_win_rate,avg_lost_to_opponent_win_rate,avg_opponent_total_fights,avg_beaten_opponent_total_fights,opponent_quality_score,age_x_years_since_last_win,age_x_fights_since_last_win,age_x_recent_vs_career_decline,age_x_days_since_last_fight,age_x_years_since_last_fight,age_x_fights_in_last_year,youth_form_score,recent_sig_strike_diff_last_3,recent_knockdown_diff_last_3,recent_control_time_sec_last_3,recent_control_time_diff_last_3,fighter_id,fighter_name
47.0,180.3,185.0,0.0,0.0,1.0,0.0,1.0,0.0,24.25,0.55,0.48,21.1,0.15238095238095237,7.698412698412699,0.4476190476190476,0.4869281045751634,0.7333333333333334,0.12085101260870873,0.0,0.5828703703703704,2.3333333333333335,0.5106978423760946,0.36845114501519666,0.3318888989196834,0.43769371971953897,0.4060267857142857,0.5735294117647058,0.55,0.10849540231367441,0.0,0.5437376674963567,0.34776693018996896,0.24891667418976254,0.4889845755039399,2.45,0.5292580409356725,3.47,0.57,0.5,1.3,4.0,1.0,3.0,0.0,1.0,0.75,0.25,0.5,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.35,0.3333333333333333,0.6666666666666666,0.0,0.25,0.75,0.0,0.08333333333333331,0.0,0.0,2.0,4.0,4.0,4487.0,144.0,1.0,1.0,1.0,12.678986995208762,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.28369786183733897,0.0,0.0,0.6634836216415164,0.6363636363636364,0.22417453891138098,21.75,11.0,0.08243781949045109,595.9123887748118,47.0,0.0,210889.0,577.3826146475017,188.0,0.0,-0.3333333333333333,0.0,255.33333333333334,129.0,11,Papy Abedi
41.0,180.3,185.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,0.31,0.68,36.02,0.1708542713567839,10.050251256281408,0.2633390705679862,0.5833333333333333,0.45,0.05770470664087685,2.0,0.31899547570651104,3.216666666666667,0.8133462282398453,0.1289490651192779,0.13636363636363635,0.7072856221792392,0.2633390705679862,0.5833333333333333,0.45,0.05770470664087685,2.0,0.8133462282398453,0.1289490651192779,0.13636363636363635,0.7072856221792392,3.216666666666667,0.31899547570651104,2.13,0.42,1.0,0.7,2.0,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.0,2.5,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.1,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3840.0,371.0,1.0,1.0,1.0,11.529089664613279,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42440336518701194,1.0,0.0,0.6159420289855072,0.6666666666666666,0.18840579710144925,16.0,9.0,0.09565217391304348,472.6926762491444,41.0,0.0,157440.0,431.047227926078,82.0,0.0,-2.0,1.0,130.0,123.0,12,Ricardo Abreu
32.0,182.9,205.0,74.0,1.0,0.0,1.0,0.0,0.0,24.0,0.4,0.55,21.1,0.18965517241379312,8.275862068965518,0.4954420364637082,0.75,0.0,0.5513888888888889,0.0,0.5096788355215321,1.8444444444444443,0.27199074074074076,0.17662037037037037,0.0,0.9136574074074074,0.4470532254609887,0.7569444444444444,0.0,0.46788949275362324,0.0,0.3126887077294686,0.2194217995169082,0.0,0.8591560990338164,1.7666666666666666,0.47500106212502013,0.64,0.2,0.8,0.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,2.5,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0.0,0.31666666666666665,0.3333333333333333,0.0,0.0,0.25,0.0,0.0,0.08333333333333331,0.0,0.0,1.0,4.0,4.0,2020.0,203.0,1.0,1.0,2.0,6.392881587953457,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2337595067408553,0.0,0.0,0.7982371794871794,0.6346153846153846,0.28425925925925927,26.75,52.0,0.07007122507122507,204.5722108145106,64.0,0.0,64640.0,176.97467488021903,128.0,0.0,-11.0,-0.6666666666666666,52.333333333333336,-3.0,13,Klidson Abreu
44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,Cyborg Abreu
47.0,172.7,180.0,0.0,0.0,1.0,1.0,0.0,0.0,3.52,0.36,0.62,0.6699999999999999,0.2175438596491228,1.2350877192982457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.2,0.81,0.0,48.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,Daniel Acacio
34.0,175.3,170.0,75.0,0.0,0.0,1.0,0.0,0.0,3.9,0.52,0.44,-2.3800000000000003,0.07006369426751592,0.6210191082802548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,John Adajar
0.0,182.9,225.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9406.0,0.0,1.0,1.0,0.0,25.752224503764545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7142857142857143,0.7142857142857143,0.0,28.0,28.0,0.14285714285714288,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,77.0,61.0,17,Scott Adams
33.0,195.6,265.0,80.0,1.0,0.0,1.0,0.0,0.0,44.25,0.55,0.34,40.19,0.08374384236453204,10.899014778325125,0.4675909675909676,0.2777777777777778,0.022222222222222223,0.11169900058788947,0.0,0.5009243009243008,2.466666666666667,0.7066431510875955,0.18165784832451495,0.004115226337448559,0.8724279835390947,0.46245793157557863,0.42500000000000004,0.6000000000000001,0.09540215741766128,0.0,0.745098642385464,0.15949920019687458,0.10483060579959805,0.7647861039333907,3.283333333333333,0.5249987812487812,0.91,0.66,0.57,0.0,4.0,1.0,3.0,0.0,1.0,0.75,0.75,0.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.6666666666666666,0.0,0.25,0.75,1.0,-0.25,0.0,1.0,0.0,4.0,4.0,2132.0,203.0,1.0,1.0,3.0,6.9869952087611225,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.21146506953610442,1.0,1.0,0.6729166666666667,0.625,0.22962962962962966,10.5,8.0,0.07907407407407407,230.57084188911705,99.0,0.0,70356.0,192.62422997946612,132.0,0.0,1.3333333333333333,-0.3333333333333333,28.333333333333332,-84.0,18,Juan Adams
37.0,185.4,185.0,76.0,0.0,1.0,1.0,0.0,0.0,3.17,0.41,0.44,-2.76,0.07419898819561552,0.5345699831365937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,Anthony Adams
33.0,165.1,125.0,65.0,1.0,0.0,0.0,1.0,0.0,28.75,0.4,0.64,25.71,0.2105263157894737,9.457236842105264,0.42791190966373444,0.5555555555555555,0.044444444444444446,0.17551892551892553,0.0,0.4371861201129493,2.8222222222222224,0.68986568986569,0.1346153846153846,0.008547008547008546,0.9352869352869352,0.4042672655811341,0.41666666666666663,0.03333333333333333,0.2566391941391941,0.0,0.6423992673992674,0.10096153846153846,0.00641025641025641,0.9514652014652014,2.216666666666667,0.4112229234180453,0.0,0.0,1.0,0.5,4.0,1.0,3.0,0.0,1.0,0.5,0.5,0.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.35,0.3333333333333333,0.3333333333333333,0.0,0.25,0.5,0.0,0.08333333333333331,0.0,0.0,2.0,4.0,4.0,1285.0,308.0,1.0,1.0,1.0,4.361396303901437,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.2594514321849925,0.0,0.0,0.612449494949495,0.5555555555555556,0.2104713804713805,25.25,18.0,0.06901683501683502,143.92607802874744,33.0,0.0,42405.0,116.09856262833677,132.0,0.0,6.333333333333333,-0.6666666666666666,15.666666666666666,-11.666666666666666,20,Zarrukh Adashev
