event_name,event_date,event_url,fighter1,fighter2,fighter1_odds,fighter2_odds,fighter1_prob,fighter2_prob
UFC,January 25th,https://www.bestfightodds.com/events/ufc-3970,Deiveson Figueiredo,Umar Nurmagomedov,870,-1600,0.1031,0.9412
UFC,January 25th,https://www.bestfightodds.com/events/ufc-3970,Andrey Pulyaev,Ateba Gautier,660,-1000,0.1316,0.9091
UFC,January 25th,https://www.bestfightodds.com/events/ufc-3970,Modestas Bukauskas,Nikita Krylov,-134,112,0.5726,0.4717
UFC,January 25th,https://www.bestfightodds.com/events/ufc-3970,Alex Perez,Charles Johson,154,-180,0.3937,0.6429
UFC,January 25th,https://www.bestfightodds.com/events/ufc-3970,Amanda Nunes,Kayla Harrison,170,-205,0.3704,0.6721
UFC 326: Holloway vs. Oliveira 2,March 8th,https://www.bestfightodds.com/events/ufc-4025,Charles Oliveira,Max Holloway,165,-210,0.3774,0.6774
UFC 326: Holloway vs. Oliveira 2,March 8th,https://www.bestfightodds.com/events/ufc-4025,Caio Borralho,Reinier de Ridder,-230,190,0.697,0.3448
UFC 326: Holloway vs. Oliveira 2,March 8th,https://www.bestfightodds.com/events/ufc-4025,Raul Rosas Jr,Rob Font,-335,250,0.7701,0.2857
UFC 326: Holloway vs. Oliveira 2,March 8th,https://www.bestfightodds.com/events/ufc-4025,Drew Dober,Michael Johnson,-210,165,0.6774,0.3774
UFC 326: Holloway vs. Oliveira 2,March 8th,https://www.bestfightodds.com/events/ufc-4025,Brunno Ferreira,Gregory Rodrigues,132,-165,0.431,0.6226
UFC 326: Holloway vs. Oliveira 2,March 8th,https://www.bestfightodds.com/events/ufc-4025,Cody Garbrandt,Long Xiao,138,-175,0.4202,0.6364
UFC 326: Holloway vs. Oliveira 2,March 8th,https://www.bestfightodds.com/events/ufc-4025,Cody Brundage,Donte Johnson,600,-900,0.1429,0.9
UFC 326: Holloway vs. Oliveira 2,March 8th,https://www.bestfightodds.com/events/ufc-4025,Alberto Montes,Ricky Turcios,-190,155,0.6552,0.3922
UFC 326: Holloway vs. Oliveira 2,March 8th,https://www.bestfightodds.com/events/ufc-4025,Cody Durden,Nyamjargal Tumendemberel,162,-195,0.3817,0.661
