feature,importance
f1_age_x_recent_vs_career_decline,3.0
decision_losses_since_last_win_diff,3.0
f2_height_cm,3.0
losses_last_3_years_diff,3.0
f1_early_finish_rate_last_3,3.0
finish_rate_last_3_years_diff,3.0
recent_form_diff,3.0
win_rate_last_3_years_diff,3.0
f1_first_round_ko_rate,3.0
f1_youth_form_score,3.0
f1_performance_trend,3.0
age_x_years_since_last_fight_diff,3.0
f2_finish_losses_since_last_win,3.0
f2_total_fights,3.0
f2_time_decayed_win_rate_adj_opp_quality,3.0
f2_age_x_years_since_last_fight,3.0
f1_age_in_prime,3.0
f1_losses_last_3_years,2.0
f1_finish_rate_last_3,2.0
common_opponent_performance_diff,2.0
f1_recent_finish_loss_ratio_last_2,2.0
recent_finish_loss_last_fight_diff,2.0
win_streak_diff,2.0
f1_early_finish_rate_last_5,2.0
f1_round_3_finish_rate,2.0
early_finish_rate_last_3_diff,2.0
f1_finish_rate_last_5,2.0
striker_vs_grappler,2.0
f2_ko_rate_last_5,2.0
youth_form_score_diff,2.0
fights_since_last_win_diff,2.0
f2_win_rate_last_3_years,2.0
f2_recent_form_quality_adjusted,2.0
f2_opponent_quality_score,2.0
orthodox_vs_southpaw,2.0
f2_first_round_ko_rate,1.0
f1_ko_rate_last_5,1.0
f2_finish_rate_last_3,1.0
f2_recent_finish_losses_last_2,1.0
f1_recent_finish_loss_last_fight,1.0
f2_early_finish_rate_last_3,1.0
f2_draws,1.0
f2_round_3_win_rate,1.0
f2_stance_orthodox,1.0
f1_ko_rate_last_3,1.0
f2_stance_southpaw,1.0
f1_draws,1.0
f2_stance_switch,1.0
f2_win_rate_last_3,1.0
f2_win_rate_last_5,1.0
f1_stance_orthodox,1.0
both_finishers,1.0
both_grapplers,1.0
f1_stance_switch,1.0
f1_fights_in_last_year,1.0
f2_ko_rate_last_3,1.0
first_round_ko_rate_diff,1.0
f1_win_rate_last_5,1.0
num_common_opponents,1.0
f1_weight_lbs,1.0
f1_age_past_prime,1.0
