feature,importance
orthodox_vs_orthodox,4.0
f1_age_x_recent_vs_career_decline,3.0
losses_last_3_years_diff,3.0
f1_ko_rate_last_5,3.0
f2_current_win_streak,3.0
f2_first_round_ko_rate,3.0
f2_recent_finish_loss_ratio_last_2,3.0
f2_age_past_prime,3.0
f2_time_decayed_win_rate_adj_opp_quality,3.0
f1_finish_rate_last_5,3.0
f2_wins_last_3_years,2.0
recent_form_diff,2.0
f2_current_loss_streak,2.0
f2_decision_rate,2.0
f2_losses_last_3_years,2.0
common_opponent_performance_diff,2.0
f1_ko_rate_last_3,2.0
f1_losses_last_3_years,2.0
f1_recent_finish_losses_last_2,2.0
f1_weight_lbs,2.0
f2_age_in_prime,2.0
f2_age_x_recent_vs_career_decline,2.0
f2_finish_rate_last_3_years,2.0
f2_height_cm,2.0
f2_ko_rate_last_3,2.0
youth_form_score_diff,2.0
f2_ko_rate_last_5,1.0
orthodox_vs_southpaw,1.0
age_x_years_since_last_fight_diff,1.0
f2_stance_switch,1.0
early_finish_rate_last_3_diff,1.0
f1_current_loss_streak,1.0
f1_draws,1.0
f1_early_finish_rate_last_5,1.0
f1_first_round_finish_rate,1.0
f1_first_round_ko_rate,1.0
f2_stance_southpaw,1.0
finish_losses_since_last_win_diff,1.0
f1_recent_finish_loss_ratio_last_2,1.0
f2_stance_orthodox,1.0
f1_round_3_finish_rate,1.0
southpaw_vs_southpaw,1.0
f1_stance_southpaw,1.0
f1_stance_switch,1.0
f2_round_3_win_rate,1.0
f2_activity_rate,1.0
f2_recent_finish_losses_last_2,1.0
first_round_ko_rate_diff,1.0
f2_win_rate_last_3,1.0
f2_draws,1.0
f2_fights_in_last_year,1.0
f2_fights_since_last_win,1.0
f2_recent_finish_loss_last_fight,1.0
f2_losses_since_last_win,1.0
losses_since_last_win_diff,1.0
f2_win_rate_last_5,1.0
