feature,importance
age_difference,74.0
f1_striking_volume_control,74.0
f2_striking_volume_control,74.0
takedown_ability_diff,51.0
avg_opponent_win_rate_diff,39.0
f2_striking_differential,33.0
opponent_quality_score_diff,33.0
f2_striking_accuracy,33.0
takedown_matchup,30.0
f1_striking_differential,29.0
f1_striking_accuracy,29.0
f1_reach_inches,27.0
f2_avg_opponent_win_rate,26.0
recent_control_time_sec_last_3_diff,26.0
finish_rate_diff,26.0
recent_vs_career_win_rate_diff,25.0
f2_reach_inches,25.0
age_x_years_since_last_win_diff,25.0
recent_sig_strike_diff_last_3_diff,25.0
f1_avg_opponent_win_rate,24.0
f1_age_x_years_since_last_win,24.0
f2_sig_strikes_landed_per_min,24.0
f2_avg_opponent_total_fights,23.0
striking_output_diff,23.0
f1_avg_opponent_total_fights,23.0
striking_differential,23.0
f2_recent_control_time_diff_last_3,23.0
recent_control_time_diff_last_3_diff,23.0
f2_avg_beaten_opponent_total_fights,21.0
f1_avg_beaten_opponent_win_rate,21.0
f2_time_decayed_finish_rate,21.0
reach_advantage,20.0
age_x_days_since_last_fight_diff,20.0
f2_days_between_last_2_fights,19.0
f1_sig_strikes_landed_per_min,19.0
striking_accuracy_diff,19.0
recent_finish_losses_last_2_diff,18.0
age_x_fights_in_last_year_diff,18.0
prospect_momentum_score_diff,18.0
f1_age,18.0
f1_age_x_days_since_last_fight,17.0
avg_beaten_opponent_win_rate_diff,17.0
f2_age_x_days_since_last_fight,17.0
f2_power_striker_score,17.0
recent_form_quality_adjusted_diff,17.0
f1_time_decayed_win_rate_adj_opp_quality,17.0
f1_time_decayed_ko_rate,17.0
f1_avg_beaten_opponent_total_fights,17.0
height_advantage,17.0
time_decayed_win_rate_adj_opp_quality_diff,17.0
f1_recent_control_time_sec_last_3,17.0
f2_time_decayed_win_rate,16.0
f2_avg_beaten_opponent_win_rate,16.0
f1_days_since_last_fight,16.0
f1_avg_lost_to_opponent_win_rate,16.0
f1_losses,15.0
f2_losses,15.0
f2_age_x_years_since_last_win,15.0
f1_recent_control_time_diff_last_3,15.0
f2_age,15.0
f2_round_3_performance_score,14.0
time_decayed_ko_rate_diff,14.0
f2_recent_sig_strike_diff_last_3,14.0
power_striker_score_diff,14.0
f1_recent_knockdown_diff_last_3,14.0
f1_recent_sig_strike_diff_last_3,14.0
f1_days_between_last_2_fights,13.0
f1_round_3_performance_score,13.0
f1_wins,13.0
f2_performance_trend,13.0
f2_days_since_last_fight,13.0
f1_total_fights,12.0
recent_finish_loss_ratio_last_2_diff,12.0
f2_time_decayed_ko_rate,12.0
wins_last_3_years_diff,12.0
f1_recent_vs_career_win_rate,12.0
f2_avg_fight_duration_rounds,11.0
f1_round_3_fight_rate,11.0
