feature,importance
f1_striking_volume_control,75.0
age_difference,70.0
f2_striking_volume_control,69.0
takedown_ability_diff,55.0
recent_control_time_sec_last_3_diff,37.0
avg_opponent_win_rate_diff,37.0
striking_differential,35.0
f1_striking_differential,33.0
takedown_matchup,32.0
f1_reach_inches,31.0
time_decayed_win_rate_adj_opp_quality_diff,31.0
opponent_quality_score_diff,31.0
recent_sig_strike_diff_last_3_diff,30.0
f2_striking_differential,30.0
f2_recent_control_time_diff_last_3,30.0
f2_avg_opponent_total_fights,29.0
f1_age,29.0
f1_days_between_last_2_fights,28.0
f1_avg_opponent_total_fights,28.0
f2_striking_accuracy,27.0
f1_avg_opponent_win_rate,26.0
age_x_years_since_last_win_diff,26.0
striking_output_diff,25.0
finish_rate_diff,24.0
f1_sig_strikes_landed_per_min,23.0
f1_recent_control_time_sec_last_3,23.0
age_x_days_since_last_fight_diff,22.0
f2_avg_beaten_opponent_total_fights,22.0
f1_striking_accuracy,21.0
avg_beaten_opponent_win_rate_diff,21.0
f2_reach_inches,21.0
f2_avg_opponent_win_rate,20.0
f2_sig_strikes_landed_per_min,20.0
f1_losses,20.0
striking_accuracy_diff,19.0
prospect_momentum_score_diff,19.0
f1_age_x_days_since_last_fight,19.0
f1_time_decayed_win_rate_adj_opp_quality,19.0
f2_age,18.0
recent_vs_career_win_rate_diff,17.0
f2_ko_rate,17.0
f2_recent_control_time_sec_last_3,17.0
f1_days_since_last_fight,16.0
f2_age_x_days_since_last_fight,16.0
f2_time_decayed_win_rate,16.0
f1_avg_beaten_opponent_win_rate,16.0
f1_avg_lost_to_opponent_win_rate,16.0
wins_last_3_years_diff,16.0
f2_prospect_momentum_score,16.0
f2_days_since_last_fight,15.0
recent_control_time_diff_last_3_diff,15.0
f1_recent_vs_career_win_rate,15.0
f2_age_x_years_since_last_win,15.0
f2_recent_sig_strike_diff_last_3,15.0
reach_advantage,15.0
f2_round_3_performance_score,15.0
f2_power_striker_score,15.0
f1_round_3_performance_score,14.0
f1_recent_sig_strike_diff_last_3,14.0
f1_time_decayed_ko_rate,14.0
f2_avg_lost_to_opponent_win_rate,14.0
time_decayed_ko_rate_diff,14.0
recent_finish_losses_last_2_diff,14.0
age_x_fights_in_last_year_diff,14.0
power_striker_score_diff,14.0
f1_avg_beaten_opponent_total_fights,14.0
f1_wins,13.0
f2_wins,13.0
height_advantage,13.0
f2_submission_rate,13.0
f1_age_x_fights_since_last_win,13.0
f2_days_between_last_2_fights,13.0
f2_avg_fight_duration_rounds,12.0
time_decayed_win_rate_diff,12.0
f2_losses,12.0
round_3_performance_diff,12.0
f1_age_x_years_since_last_win,11.0
f2_recent_knockdown_diff_last_3,11.0
f1_submission_rate,11.0
f1_age_x_fights_in_last_year,11.0
age_x_fights_since_last_win_diff,11.0
recent_finish_loss_ratio_last_2_diff,10.0
f2_performance_trend,10.0
f2_time_decayed_finish_rate,10.0
round_3_win_rate_diff,10.0
f2_time_decayed_ko_rate,10.0
experience_difference,10.0
f1_recent_knockdown_diff_last_3,10.0
f1_early_finish_advantage,10.0
f2_recent_vs_career_win_rate,10.0
