event_date,f1_name,f2_name,weight_class,model_prob_f1,model_prob_f2,base_confidence,adjusted_confidence,prediction_correct,fighter1_odds,fighter2_odds,is_favorite,f1_top1_striking_volume_control,f1_top2_striking_differential,f1_top3_striking_accuracy,f2_top1_striking_volume_control,f2_top2_striking_differential,f2_top3_striking_accuracy
2025-01-18,Payton Talbott,Raoni Barcelos,Bantamweight,0.8329433798789978,0.1670566201210022,0.6658867597579956,0.6658867597579956,False,-1200,750,True,3.403669724770642,2.911111111111111,0.7135683291892155,1.0478087649402392,0.2181818181818187,0.5218001138883386
2025-10-11,Deiveson Figueiredo,Montel Jackson,Bantamweight,0.2293488010764122,0.7706511989235878,0.5413023978471756,0.46883748532294994,False,265,-330,False,0.7980822219772954,-0.6428070175438592,0.5731144661920329,2.0384615384615388,1.3090909090909093,0.5590850860634355
2025-02-15,Gregory Rodrigues,Jared Cannonier,Middleweight,0.7806936204433441,0.21930637955665588,0.5613872408866882,0.43539296773585473,False,-240,194,True,1.3177189409368637,1.1555555555555563,0.5993120972362184,1.0766052129688493,0.2677777777777774,0.5109453023811485
2025-06-14,Alonzo Menifield,Oumar Sy,Light Heavyweight,0.29244737327098846,0.7075526267290115,0.41510525345802307,0.41510525345802307,False,490,-670,False,1.0761381475667189,0.2155555555555555,0.5534111283200075,2.368421052631579,1.7333333333333334,0.3
2025-12-06,Merab Dvalishvili,Petr Yan,Bantamweight,0.6933992058038712,0.30660079419612885,0.3867984116077423,0.3867984116077423,False,-375,300,True,1.7609541532735582,1.8741666666666672,0.4352953311541986,1.314732784904792,1.2157777777777778,0.5521974806752323
2025-08-09,Andre Fili,Christian Rodriguez,Featherweight,0.26723363995552063,0.7327663600444794,0.46553272008895874,0.3808496938591855,False,205,-250,False,0.9403651115618664,-0.2041666666666661,0.3718990406426437,1.160220994475138,0.4833333333333334,0.5198854346092703
2025-02-22,Ibo Aslan,Ion Cutelaba,Light Heavyweight,0.7023755460977554,0.29762445390224457,0.40475109219551086,0.3806653298761975,False,-215,180,True,2.7241379310344827,3.333333333333333,0.5944444444444444,1.4445364238410598,1.0529411764705885,0.4886374270220675
2025-01-18,Muin Gafurov,Rinya Nakamura,Bantamweight,0.3100764751434326,0.6899235248565674,0.37984704971313477,0.37984704971313477,False,530,-750,False,1.656716417910448,0.977777777777778,0.4612800653887941,2.7435897435897436,1.511111111111111,0.5381453634085213
2025-06-21,Bogdan Grad,Muhammad Naimov,Featherweight,0.7003995627164841,0.29960043728351593,0.40079912543296814,0.36680925719381824,False,205,-250,False,1.352941176470588,1.1999999999999995,0.696969696969697,0.8781869688385268,-0.286666666666667,0.4386719712039405
2025-08-09,Cody Brundage,Eric McConico,Light Heavyweight,0.6825361847877502,0.31746381521224976,0.3650723695755005,0.3650723695755005,False,-230,190,True,0.6252427184466021,-1.0722222222222215,0.4575524163751059,0.25,-1.5,0.3846153846153846
2025-09-06,Brad Tavares,Robert Bryczek,Middleweight,0.6995575577020645,0.3004424422979355,0.39911511540412903,0.35973336009011664,False,-200,168,True,1.0436769933976635,0.1323076923076924,0.42458536598605,0.4776119402985074,-2.3333333333333335,0.2406015037593984
2025-02-22,Alonzo Menifield,Julius Walker,Light Heavyweight,0.330661341547966,0.669338658452034,0.338677316904068,0.338677316904068,False,-235,194,True,1.086206896551724,0.2261904761904758,0.5506664421504454,1.2264150943396226,0.7999999999999998,0.6063006979815129
2025-08-02,Austin Bashi,John Yannis,Featherweight,0.8721151798963547,0.12788482010364532,0.7442303597927094,0.7442303597927094,True,-1150,730,True,0.5227272727272728,-1.3999999999999997,0.46,0.0,-0.4,0.0
2025-03-29,Raul Rosas Jr.,Vince Morales,Bantamweight,0.8312702775001526,0.1687297224998474,0.6625405550003052,0.6552180164531951,True,-480,370,True,1.2076502732240435,0.2533333333333332,0.3806676265130911,0.84251968503937,-0.666666666666667,0.3715484152228621
