date,fighter1,fighter2,odds1,odds2,prob1,prob2,pick,pick_odds,pick_prob,ev1,ev2,error
2025-06-29,Alexandre Pantoja,Kai Kara-France,-250,205,0.612,0.388,Alexandre Pantoja,-250.0,0.612,-0.1432,0.1834,False
2025-06-29,Felipe Lima,Payton Talbott,-174,146,0.486,0.514,Payton Talbott,146.0,0.514,-0.2346896551724138,0.26444,False
2025-06-29,Beneil Dariush,Renato Moicano,-112,-104,0.599,0.401,Beneil Dariush,-112.0,0.599,0.13382142857142854,-0.21342307692307688,False
2025-06-29,Brandon Royval,Joshua van,102,-120,0.18100000000000002,0.819,Joshua van,-120.0,0.819,-0.6343799999999999,0.5015,False
2025-06-29,Hyder Amil,Jose Delgado,116,-136,0.35,0.65,Jose Delgado,-136.0,0.65,-0.24400000000000005,0.12794117647058828,False
2025-06-29,Gregory Rodrigues,Jack Hermansson,-205,172,0.467,0.5329999999999999,Jack Hermansson,172.0,0.5329999999999999,-0.30519512195121945,0.4497599999999997,False
2025-06-29,Terrance McKinney,Viacheslav Borshchev,-172,144,0.6940000000000001,0.30599999999999994,Terrance McKinney,-172.0,0.6940000000000001,0.09748837209302336,-0.25336000000000014,False
2025-06-29,Tracy Cortez,Viviane Araujo,-210,176,0.6829999999999999,0.31700000000000006,Tracy Cortez,-210.0,0.6829999999999999,0.008238095238095156,-0.12507999999999986,False
2025-07-20,Dustin Poirier,Max Holloway,-104,-122,0.327,0.673,Max Holloway,-122.0,0.673,-0.3585769230769231,0.22463934426229515,False
2025-07-20,Adam Fugitt,Islam Dulatov,320,-460,0.22899999999999998,0.771,Islam Dulatov,-460.0,0.771,-0.03820000000000001,-0.06139130434782608,False
2025-07-20,Brendan Allen,Marvin Vettori,-265,200,0.685,0.31499999999999995,Brendan Allen,-265.0,0.685,-0.056509433962264044,-0.05500000000000016,False
2025-07-20,Gunnar Nelson,Neil Magny,-350,255,0.305,0.6950000000000001,Neil Magny,255.0,0.6950000000000001,-0.6078571428571429,1.4672500000000002,False
2025-08-02,Hyun Sung Park,Tatsuro Taira,270,-335,,,,,,,,True
2025-08-02,Chris Duncan,Mateusz Rebecki,198,-240,0.46799999999999997,0.532,Mateusz Rebecki,-240.0,0.532,0.3946399999999999,-0.2463333333333333,False
2025-08-02,Elves Brener,Esteban Ribovics,215,-260,0.45299999999999996,0.547,Esteban Ribovics,-260.0,0.547,0.42694999999999983,-0.24261538461538454,False
2025-08-02,Karol Rosa,Nora Cornolle,-158,132,0.6509999999999999,0.3490000000000001,Karol Rosa,-158.0,0.6509999999999999,0.06302531645569609,-0.19031999999999977,False
2025-08-02,Elizeu Zaleski,Neil Magny,-158,134,,,,,,,,True
2025-08-02,Danny Silva,Kevin Vallejos,300,-375,0.34299999999999997,0.657,Kevin Vallejos,-375.0,0.657,0.3719999999999999,-0.16779999999999998,False
2025-08-02,Andrey Pulyaev,Nick Klein,-126,108,0.6,0.4,Andrey Pulyaev,-126.0,0.6,0.07619047619047614,-0.16799999999999993,False
2025-08-02,Austin Bashi,John Yannis,-1150,730,0.8059999999999999,0.19400000000000006,Austin Bashi,-1150.0,0.8059999999999999,-0.12391304347826093,0.6102000000000004,False
2025-08-02,Felipe Bunes,Rafael Estevam,490,-670,0.22699999999999998,0.773,Rafael Estevam,-670.0,0.773,0.33930000000000005,-0.11162686567164178,False
2025-08-02,Ketlen Souza,Piera Rodriguez,210,-255,0.263,0.737,Piera Rodriguez,-255.0,0.737,-0.18469999999999998,0.026019607843137227,False
2025-08-02,Amir Albazi,Tatsuro Taira,220,-275,0.139,0.861,Tatsuro Taira,-275.0,0.861,-0.5551999999999999,0.17409090909090907,False
2025-08-09,Anthony Hernandez,Roman Dolideze,-330,265,,,,,,,,True
2025-08-09,Ode Osbourne,Steve Erceg,440,-590,0.28300000000000003,0.717,Steve Erceg,-590.0,0.717,0.5282000000000003,-0.1614745762711865,False
2025-08-09,Angela Hill,Iasmin Lucindo,144,-172,0.21899999999999997,0.781,Iasmin Lucindo,-172.0,0.781,-0.46564000000000005,0.23506976744186053,False
2025-08-09,Andre Fili,Christian Rodriguez,205,-250,0.27,0.73,Christian Rodriguez,-250.0,0.73,-0.1765,0.021999999999999964,False
2025-08-09,Jean Matsumoto,Miles Johns,-260,215,0.6920000000000001,0.30799999999999994,Jean Matsumoto,-260.0,0.6920000000000001,-0.041846153846153755,-0.02980000000000016,False
2025-08-09,Christian Leroy Duncan,Eryk Anders,-490,380,0.774,0.22599999999999998,Christian Leroy Duncan,-490.0,0.774,-0.06804081632653058,0.08479999999999988,False
2025-08-09,Julius Walker,Raffael Cerqueira,-750,530,,,,,,,,True
2025-08-09,Elijah Smith,Toshiomi Kazama,-820,570,0.87,0.13,Elijah Smith,-820.0,0.87,-0.02390243902439025,-0.1289999999999999,False
2025-08-09,Joselyne Edwards,Priscila Cachoeira,-420,330,0.863,0.137,Joselyne Edwards,-420.0,0.863,0.06847619047619044,-0.4109,False
2025-08-09,Gilbert Urbina,Uros Medic,270,-335,0.311,0.6890000000000001,Uros Medic,-335.0,0.6890000000000001,0.15069999999999995,-0.10532835820895517,False
2025-08-09,Gabriella Fernandes,Julija Stoliarenko,-450,350,0.672,0.32799999999999996,Gabriella Fernandes,-450.0,0.672,-0.1786666666666666,0.47599999999999987,False
2025-08-09,Cody Brundage,Eric McConico,-230,190,0.44799999999999995,0.552,Eric McConico,190.0,0.552,-0.35721739130434793,0.6008,False
2025-09-06,Caio Borralho,Nassourdine Imavov,-132,112,0.44,0.56,Nassourdine Imavov,112.0,0.56,-0.22666666666666674,0.18720000000000014,False
2025-09-06,Benoit Saint-Denis,Mauricio Ruffy,146,-174,,,,,,,,True
2025-09-06,Modestas Bukauskas,Paul Craig,-335,270,0.609,0.391,Modestas Bukauskas,-335.0,0.609,-0.20920895522388064,0.4467000000000001,False
2025-09-06,Bolaji Oki,Mason Jones,126,-148,0.292,0.708,Mason Jones,-148.0,0.708,-0.34008,0.18637837837837828,False
2025-09-06,Axel Sola,Rhys McKee,-136,116,0.779,0.22099999999999997,Axel Sola,-136.0,0.779,0.3517941176470589,-0.52264,False
2025-09-06,Robert Ruchala,William Gomis,220,-270,0.373,0.627,William Gomis,-270.0,0.627,0.1936000000000001,-0.14077777777777778,False
2025-09-06,Brendson Ribeiro,Oumar Sy,420,-560,0.215,0.785,Oumar Sy,-560.0,0.785,0.118,-0.07482142857142854,False
2025-09-06,Ante Delija,Marcin Tybura,-102,-116,0.561,0.43899999999999995,Ante Delija,-102.0,0.561,0.1110000000000001,-0.18255172413793114,False
2025-09-06,Harry Hardwick,Kaue Fernandes,176,-210,0.248,0.752,Kaue Fernandes,-210.0,0.752,-0.31552,0.11009523809523808,False
2025-09-06,Sam Patterson,Trey Waters,-194,162,0.6709999999999999,0.32900000000000007,Sam Patterson,-194.0,0.6709999999999999,0.01687628865979368,-0.1380199999999998,False
2025-09-06,Brad Tavares,Robert Bryczek,-200,168,0.396,0.604,Robert Bryczek,168.0,0.604,-0.40599999999999997,0.6187199999999998,False
2025-09-06,Andreas Gustafsson,Rinat Fakhretdinov,-132,112,0.363,0.637,Rinat Fakhretdinov,112.0,0.637,-0.36200000000000004,0.3504400000000001,False
2025-09-06,Sam Hughes,Shauna Bannon,-275,225,0.629,0.371,Sam Hughes,-275.0,0.629,-0.14227272727272727,0.20575,False
2025-09-06,Fares Ziam,Kaue Fernandes,-350,275,0.62,0.38,Fares Ziam,-350.0,0.62,-0.20285714285714287,0.42499999999999993,False
2025-09-14,Diego Lopes,Jean Silva,176,-210,,,,,,,,True
2025-09-14,David Martinez,Rob Font,108,-130,0.5670000000000001,0.43299999999999994,David Martinez,108.0,0.5670000000000001,0.17936000000000019,-0.233923076923077,False
2025-09-14,Rafa Garcia,Jared Gordon,-130,130,0.5760000000000001,0.42399999999999993,Rafa Garcia,-130.0,0.5760000000000001,0.019076923076923213,-0.024800000000000155,False
2025-09-14,Kelvin Gastelum,Dustin Stoltzfus,-130,130,0.48700000000000004,0.5129999999999999,Dustin Stoltzfus,130.0,0.5129999999999999,-0.13838461538461522,0.17989999999999984,False
2025-09-28,Carlos Ulberg,Dominick Reyes,-245,200,0.6609999999999999,0.3390000000000001,Carlos Ulberg,-245.0,0.6609999999999999,-0.06920408163265318,0.017000000000000237,False
2025-09-28,Ivan Erslan,Jimmy Crute,194,-235,0.292,0.708,Jimmy Crute,-235.0,0.708,-0.14151999999999998,0.009276595744680816,False
2025-09-28,Jack Jenkins,Ramon Taveras,-300,245,0.634,0.366,Jack Jenkins,-300.0,0.634,-0.15466666666666667,0.26270000000000004,False
2025-09-28,Jake Matthews,Neil Magny,-320,260,0.298,0.702,Neil Magny,260.0,0.702,-0.6088749999999999,1.5272,False
2025-09-28,Charlie Campbell,Tom Nolan,134,-158,0.278,0.722,Tom Nolan,-158.0,0.722,-0.3494799999999999,0.17896202531645566,False
2025-09-28,Navajo Stirling,Rodolfo Bellato,-270,220,0.7120000000000001,0.2879999999999999,Navajo Stirling,-270.0,0.7120000000000001,-0.024296296296296205,-0.07840000000000025,False
2025-09-28,Andre Petroski,Cam Rowston,-174,146,0.252,0.748,Cam Rowston,146.0,0.748,-0.6031724137931035,0.8400799999999999,False
