f1_name,f2_name,market_prob_f1,gen_prob_f1,ud_prob_f1,blended_prob_f1,blended_edge,target,price_f1
Dan Hooker,Arman Tsarukyan,0.1587301587301587,0.1930520385503769,0.16209255,0.17292837128043176,0.014198212550273065,0,530
Belal Muhammad,Ian Machado Garry,0.2985074626865671,0.2087477147579193,0.5703791,0.44380807429552077,0.1453006116089537,0,235
Alonzo Menifield,Volkan Oezdemir,0.3448275862068966,0.3684608936309814,0.52605844,0.4708992719650268,0.12607168575813021,0,190
Jack Hermansson,Myktybek Orolbai,0.3759398496240601,0.4089337736368179,0.37537295,0.38711922392249104,0.011179374298430966,0,166
Kyoji Horiguchi,Tagir Ulanbekov,0.3401360544217687,0.434822216629982,0.62939715,0.5612959079444408,0.22115985352267215,1,194
Bogdan Grad,Luke Riley,0.3278688524590163,0.6770934462547302,0.49920946,0.561468842625618,0.2335999901666017,0,205
Nicolas Dalby,Saygid Izagakhmaev,0.2702702702702703,0.3651989251375198,0.6747632,0.5664156936109066,0.2961454233406363,1,270
Alex Perez,Asu Almabayev,0.3676470588235294,0.4664991497993469,0.34628525,0.38836010992527004,0.020713051101740654,0,172
Shem Rock,Nurullo Aliev,0.2777777777777778,0.2047544419765472,0.21374829,0.2106004402041435,-0.06717733757363428,0,260
Marek Bujlo,Denzel Freeman,0.3448275862068966,0.7003597021102905,0.66460675,0.6771202743053436,0.33229268809844703,0,190
Jack Della Maddalena,Islam Makhachev,0.2777777777777778,0.3739016205072403,0.64380044,0.5493358306586742,0.2715580528808964,0,260
Beneil Dariush,Benoit Saint Denis,0.3846153846153846,0.3054452389478683,0.5169502,0.442923442274332,0.05830805765894742,0,160
Rodolfo Vieira,Bo Nickal,0.3333333333333333,0.4506513625383377,0.28350317,0.3420050345361233,0.008671701202789983,0,200
Roman Kopylov,Gregory Rodrigues,0.3787878787878788,0.4915659725666046,0.45327675,0.46667796224355695,0.08789008345567817,0,164
Tracy Cortez,Erin Blanchfield,0.273972602739726,0.321494773030281,0.33738446,0.3318230681121349,0.0578504653724089,0,265
Ethyn Ewing,Malcolm Wellmaker,0.2325581395348837,0.387276291847229,0.69374585,0.5864814996719361,0.3539233601370524,1,330
Gerald Meerschaert,Kyle Daukaus,0.2127659574468085,0.4573212116956711,0.3654527,0.39760667756199836,0.18484072011518984,0,370
Angela Hill,Fatima Kline,0.1851851851851851,0.2251074239611625,0.3128223,0.28212209381163117,0.09693690862644608,0,440
Matt Schnell,Joseph Morales,0.2083333333333333,0.3255866020917892,0.15916553,0.21741290315985679,0.009079569826523498,0,380
Cody Durden,Allan Nascimento,0.2857142857142857,0.4233731776475906,0.3901925,0.40180573686957355,0.11609145115528785,0,250
Kevin Christian,Billy Elekana,0.3125,0.4111100286245346,0.45058367,0.4367678828537464,0.1242678828537464,0,220
Sedriques Dumas,Donte Johnson,0.2631578947368421,0.3137084394693374,0.22459269,0.255783199518919,-0.007374695217923111,0,280
Phil Rowe,Seokhyeon Ko,0.3968253968253968,0.3089553862810135,0.2437007,0.2665398381650448,-0.13028555866035202,0,152
Ariane Carnelossi,Talita Alencar,0.3472222222222222,0.4735558032989502,0.44764507,0.4567138135433197,0.10949159132109748,0,188
Mario Bautista,Umar Nurmagomedov,0.1785714285714285,0.2303360253572464,0.21721084,0.22180465087294576,0.04323322230151727,0,460
Alexander Volkov,Jailton Almeida,0.3759398496240601,0.2531491070985794,0.63385534,0.5006081484258175,0.1246682988017574,1,166
JunYong Park,Ikram Aliskerov,0.3448275862068966,0.5152255445718765,0.4086879,0.4459760539233685,0.1011484677164719,0,190
Louie Sutherland,Valter Walker,0.238095238095238,0.2076883986592292,0.22508712,0.2189975585788488,-0.019097679516389188,0,320
Chris Barnett,Hamdy Abdelwahab,0.2272727272727272,0.2500151246786117,0.25939766,0.25611376538872715,0.028841038115999945,0,340
Mitch Raposo,Azat Maksum,0.2061855670103092,0.4244149476289749,0.6310809,0.5587478242814541,0.3525622572711449,1,385
Brendan Allen,Reinier de Ridder,0.352112676056338,0.4243490397930145,0.75325745,0.6381394818425179,0.2860268057861799,1,184
Jasmine Jasudavicius,Manon Fiorot,0.3448275862068966,0.4221560060977936,0.5020094,0.47406070679426193,0.12923312058736536,0,190
Davey Grant,Charles Jourdain,0.3846153846153846,0.4723547995090484,0.3898221,0.4187085315585136,0.03409314694312904,0,160
Kyle Prepolec,Drew Dober,0.273972602739726,0.3158701360225677,0.31748283,0.31691837459802624,0.04294577185830023,0,265
Aoriqileng,Cody Gibson,0.3846153846153846,0.5478799492120743,0.7311757,0.6670221738517285,0.2824067892363439,1,160
Bruno Silva,HyunSung Park,0.3472222222222222,0.3589817732572555,0.64932257,0.5477032758295536,0.20048105360733137,1,188
Djorden Santos,Danny Barlow,0.3278688524590163,0.4138999134302139,0.81144285,0.6723027758300304,0.3444339233710141,1,205
Ravena Oliveira,Stephanie Luciano,0.273972602739726,0.3250298500061035,0.48964605,0.43203035593032835,0.15805775319060233,0,265
Yousri Belgaroui,Azamat Bekoev,0.2941176470588235,0.4004525393247604,0.83111465,0.6803828813135624,0.3862652342547389,1,240
Deiveson Figueiredo,Montel Jackson,0.273972602739726,0.2227964848279953,0.61291176,0.47637138739228246,0.20239878465255645,1,265
Vicente Luque,Joel Alvarez,0.196078431372549,0.2721111327409744,0.51177984,0.4278957866132259,0.23181735524067693,0,410
Alex Pereira,Magomed Ankalaev,0.3278688524590163,0.6635403037071228,0.7761112,0.7367113620042801,0.4088425095452638,1,205
Cory Sandhagen,Merab Dvalishvili,0.2325581395348837,0.3636936843395233,0.31189802,0.3300264999270439,0.09746836039216022,0,330
Khalil Rountree Jr.,Jiri Prochazka,0.3816793893129771,0.3369949758052826,0.29406843,0.3090927079319954,-0.07258668138098173,0,162
Josh Emmett,Youssef Zalal,0.217391304347826,0.1507019251585006,0.2266249,0.2000518627464771,-0.0173394416013489,0,360
Jakub Wiklacz,Patchy Mix,0.2631578947368421,0.6250192075967789,0.7125662,0.6819247476756573,0.41876685293881516,1,280
Andre Muniz,Edmen Shahbazyan,0.2777777777777778,0.3303943574428558,0.2918669,0.30535150319337845,0.02757372541560066,0,260
Dominick Reyes,Carlos Ulberg,0.3333333333333333,0.4661062210798263,0.43044886,0.4429289199411869,0.10959558660785357,0,200
Ivan Erslan,Jimmy Crute,0.3401360544217687,0.248299166560173,0.5489862,0.4437457360327244,0.10360968161095568,0,194
Ramon Taveras,Jack Jenkins,0.2898550724637681,0.4485654383897781,0.32860747,0.3705927573144435,0.0807376848506754,0,245
Neil Magny,Jake Matthews,0.2777777777777778,0.4900126457214355,0.6977269,0.6250268995761871,0.3472491217984093,1,260
Rodolfo Bellato,Navajo Stirling,0.3125,0.2664039582014084,0.47209826,0.40010522976517676,0.08760522976517676,0,220
Luana Carolina,Michelle Montague,0.3623188405797101,0.5863457173109055,0.6620073,0.6355257071554661,0.273206866575756,0,176
Diego Lopes,Jean Silva,0.3623188405797101,0.3506872355937958,0.76977885,0.6230967894196511,0.260777948839941,1,176
Paul Craig,Modestas Bukauskas,0.2702702702702703,0.3861231952905655,0.4013512,0.3960213832557201,0.12575111298544983,0,270
