event_date,f1_name,f2_name,weight_class,model_prob_f1,model_prob_f2,base_confidence,adjusted_confidence,prediction_correct,fighter1_odds,fighter2_odds,is_favorite,f1_top2_striking_differential,f1_top3_age,f2_top2_striking_differential,f2_top3_days_since_last_fight
2025-01-18,Payton Talbott,Raoni Barcelos,Bantamweight,0.8369804807007313,0.16301951929926872,0.6739609614014626,0.6739609614014626,False,-1200,750,True,2.911111111111111,27.0,0.2181818181818187,329.0
2025-02-15,Gregory Rodrigues,Jared Cannonier,Middleweight,0.7855547219514847,0.21444527804851532,0.5711094439029694,0.4346045168232416,False,-240,194,True,1.1555555555555563,33.0,0.2677777777777774,175.0
2025-02-22,Ibo Aslan,Ion Cutelaba,Light Heavyweight,0.7122452706098557,0.28775472939014435,0.4244905412197113,0.3866613177482386,False,-215,180,True,3.333333333333333,29.0,1.0529411764705885,147.0
2025-08-09,Andre Fili,Christian Rodriguez,Featherweight,0.26852308958768845,0.7314769104123116,0.4629538208246231,0.3805307778115231,False,205,-250,False,-0.2041666666666661,35.0,0.4833333333333334,133.0
2025-02-22,Jean Matsumoto,Rob Font,Catch Weight,0.7104386240243912,0.2895613759756088,0.42087724804878235,0.36560938518549907,False,-200,168,True,0.25,26.0,1.784444444444445,126.0
2025-11-22,Bogdan Grad,Luke Riley,Featherweight,0.696399062871933,0.303600937128067,0.39279812574386597,0.3642009507707427,False,205,-250,False,1.0333333333333332,30.0,0.7,0.0
2025-01-11,Punahele Soriano,Uros Medic,Welterweight,0.2953745499253273,0.7046254500746727,0.4092509001493454,0.35990025097787104,False,198,-240,False,0.8166666666666669,33.0,1.3888888888888884,259.0
2025-10-18,Azamat Bekoev,Yousri Belgaroui,Middleweight,0.6779052168130875,0.32209478318691254,0.3558104336261749,0.3558104336261749,False,-295,240,True,1.8000000000000005,29.0,5.199999999999999,0.0
2025-11-22,Kyoji Horiguchi,Tagir Ulanbekov,Flyweight,0.31223754584789276,0.6877624541521072,0.3755249083042145,0.3440951536821272,False,194,-235,False,1.5875,35.0,-0.0285714285714289,154.0
2025-06-21,Bogdan Grad,Muhammad Naimov,Featherweight,0.6705297380685806,0.3294702619314194,0.34105947613716125,0.34105947613716125,False,205,-250,False,1.1999999999999995,30.0,-0.286666666666667,140.0
2025-01-11,Amanda Ribas,Mackenzie Dern,Women's Strawweight,0.6792105436325073,0.3207894563674927,0.35842108726501465,0.33761840113653613,False,-194,162,True,0.9696969696969702,32.0,-0.2533333333333338,161.0
2025-06-21,Oban Elliott,Seokhyeon Ko,Welterweight,0.6674460172653198,0.3325539827346802,0.33489203453063965,0.33489203453063965,False,-480,370,True,2.1333333333333337,27.0,1.833333333333333,0.0
2025-03-01,Hyder Amil,William Gomis,Featherweight,0.2636556923389435,0.7363443076610565,0.47268861532211304,0.332777774546368,False,176,-210,False,6.45,35.0,1.0333333333333337,154.0
