feature,importance
f2_wins_last_3_years,5.0
f1_time_decayed_ko_rate,5.0
f1_age_in_prime,5.0
f2_recent_finish_loss_last_fight,5.0
time_decayed_finish_rate_diff,5.0
f2_early_finish_advantage,5.0
f2_performance_trend,5.0
f2_losses_last_3_years,5.0
f1_finish_rate_last_5,4.0
f1_win_rate_last_3_years,4.0
f2_finish_rate,4.0
f2_first_round_finish_rate,4.0
f2_height_cm,4.0
f1_age_x_fights_since_last_win,4.0
f2_age_x_years_since_last_fight,4.0
f2_recent_finish_loss_ratio_last_2,4.0
f2_age_x_recent_vs_career_decline,4.0
f1_ko_rate_last_5,4.0
recent_knockdown_diff_last_3_diff,3.0
tier_x_recent_form_diff,3.0
first_round_ko_rate_diff,3.0
f1_age_x_recent_vs_career_decline,3.0
f1_finish_losses_since_last_win,3.0
finish_losses_since_last_win_diff,3.0
f2_win_rate_last_5,3.0
f1_finish_rate_last_3_years,3.0
f2_win_rate_last_3_years,3.0
f1_round_3_finish_rate,3.0
f1_recent_finish_loss_last_fight,3.0
f1_recent_finish_loss_ratio_last_2,3.0
f2_opponent_quality_score,3.0
f1_ko_rate_last_3,3.0
f2_stance_orthodox,3.0
f2_time_decayed_win_rate_adj_opp_quality,3.0
f2_weight_lbs,3.0
f2_finish_rate_last_5,3.0
f2_ko_rate_last_5,2.0
f2_first_round_ko_rate,2.0
common_opponent_performance_diff,2.0
decision_losses_since_last_win_diff,2.0
f2_age_in_prime,2.0
f1_youth_form_score,2.0
f2_decision_losses_since_last_win,2.0
f1_wins_last_3_years,2.0
f2_early_finish_rate_last_3,2.0
f2_current_loss_streak,2.0
f1_early_finish_rate_last_5,2.0
f2_win_rate_last_3,2.0
f1_age_x_years_since_last_fight,2.0
f1_current_win_streak,2.0
f1_stance_switch,2.0
losses_last_3_years_diff,2.0
recent_form_diff,1.0
both_strikers,1.0
age_x_elite_experience_diff,1.0
f1_win_rate_last_5,1.0
veteran_striking_advantage_diff,1.0
f1_early_finish_rate_last_3,1.0
f1_finish_rate_last_3,1.0
age_x_years_since_last_fight_diff,1.0
f2_finish_losses_since_last_win,1.0
losses_since_last_win_diff,1.0
f1_stance_orthodox,1.0
f1_first_round_ko_rate,1.0
f2_sig_strikes_landed_per_min_lifetime,1.0
orthodox_vs_orthodox,1.0
f2_age_past_prime,1.0
f1_current_loss_streak,1.0
f2_stance_switch,1.0
f1_activity_rate,1.0
f1_losses_last_3_years,1.0
f2_current_win_streak,1.0
f2_stance_southpaw,1.0
recent_form_x_opp_quality_diff,1.0
f2_finish_rate_last_3,1.0
