event_date,f1_name,f2_name,weight_class,model_prob_f1,model_prob_f2,base_confidence,adjusted_confidence,prediction_correct,fighter1_odds,fighter2_odds,is_favorite,f1_top1_striking_volume_control,f1_top2_striking_differential,f1_top3_age,f2_top1_striking_volume_control,f2_top2_striking_accuracy,f2_top3_striking_differential
2025-01-18,Payton Talbott,Raoni Barcelos,Bantamweight,0.821376658976078,0.17862334102392197,0.6427533179521561,0.6427533179521561,False,-1200,750,True,3.403669724770642,2.911111111111111,27.0,1.0478087649402392,0.5218001138883386,0.2181818181818187
2025-06-14,Alonzo Menifield,Oumar Sy,Light Heavyweight,0.25887100398540497,0.741128996014595,0.48225799202919006,0.48225799202919006,False,490,-670,False,1.0761381475667189,0.2155555555555555,38.0,2.368421052631579,0.3,1.7333333333333334
2025-10-11,Deiveson Figueiredo,Montel Jackson,Bantamweight,0.23820950090885162,0.7617904990911484,0.5235809981822968,0.46740635651818374,False,265,-330,False,0.7980822219772954,-0.6428070175438592,37.0,2.0384615384615388,0.5590850860634355,1.3090909090909093
2025-02-15,Gregory Rodrigues,Jared Cannonier,Middleweight,0.7526761144399643,0.2473238855600357,0.5053522288799286,0.434410233866664,False,-240,194,True,1.3177189409368637,1.1555555555555563,33.0,1.0766052129688493,0.5109453023811485,0.2677777777777774
2025-08-09,Cody Brundage,Eric McConico,Light Heavyweight,0.6944251209497452,0.3055748790502548,0.38885024189949036,0.38885024189949036,False,-230,190,True,0.6252427184466021,-1.0722222222222215,31.0,0.25,0.3846153846153846,-1.5
2025-02-22,Ibo Aslan,Ion Cutelaba,Light Heavyweight,0.715962141752243,0.28403785824775696,0.4319242835044861,0.3886163682594568,False,-215,180,True,2.7241379310344827,3.333333333333333,29.0,1.4445364238410598,0.4886374270220675,1.0529411764705885
2025-08-09,Andre Fili,Christian Rodriguez,Featherweight,0.2583506256341934,0.7416493743658066,0.48329874873161316,0.38250453261618095,False,205,-250,False,0.9403651115618664,-0.2041666666666661,35.0,1.160220994475138,0.5198854346092703,0.4833333333333334
2025-02-22,Alonzo Menifield,Julius Walker,Light Heavyweight,0.30999383330345154,0.6900061666965485,0.3800123333930969,0.3800123333930969,False,-235,194,True,1.086206896551724,0.2261904761904758,38.0,1.2264150943396226,0.6063006979815129,0.7999999999999998
2025-02-22,Jean Matsumoto,Rob Font,Catch Weight,0.7288628369569778,0.27113716304302216,0.4577256739139557,0.37231932203095613,False,-200,168,True,1.068181818181818,0.25,26.0,1.5433630314649829,0.4608332969876951,1.784444444444445
2025-06-21,Bogdan Grad,Muhammad Naimov,Featherweight,0.6990265995264053,0.30097340047359467,0.39805319905281067,0.36593573694450554,False,205,-250,False,1.352941176470588,1.1999999999999995,30.0,0.8781869688385268,0.4386719712039405,-0.286666666666667
