Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-05-10,Valentina Shevchenko,Manon Fiorot,Yes,46.3,58.8,12.5,0.1753,116,Yes,Yes,1.16
2025-05-10,Aiemann Zahabi,Jose Aldo,Yes,38.5,53.2,14.8,0.0643,160,Yes,Yes,1.6
2025-05-10,Natalia Silva,Alexa Grasso,No,70.1,73.5,3.3,0.4692,-235,Yes,Yes,0.43
2025-05-10,Mike Malott,Charles Radtke,No,66.7,72.1,5.5,0.4429,-200,Yes,Yes,0.5
2025-05-10,Jessica Andrade,Jasmine Jasudavicius,No,73.3,53.9,23.1,0.0775,-275,No,No,-1.0
2025-05-10,Ion Cutelaba,Modestas Bukauskas,Yes,51.5,65.0,12.6,0.3006,-106,No,No,-1.0
2025-05-10,Bruno Silva,Marc-Andre Barriault,No,61.8,60.3,17.9,0.2064,-162,No,No,-1.0
2025-05-10,Brad Katona,Bekzat Almakhan,No,58.7,63.6,18.1,0.2719,-142,No,No,-1.0
2025-05-03,Reinier de Ridder,Bo Nickal,Yes,25.3,58.6,33.3,0.172,295,Yes,Yes,2.95
2025-05-03,Daniel Rodriguez,Santiago Ponzinibbio,Yes,45.9,58.4,12.5,0.1679,118,Yes,Yes,1.18
2025-05-03,Montel Jackson,Daniel Marcos,No,69.2,76.8,7.6,0.5359,-225,Yes,Yes,0.44
2025-05-03,Cameron Smotherman,Serhiy Sidey,No,58.0,71.7,25.8,0.4335,-138,No,No,-1.0
2025-05-03,Ryan Loder,Azamat Bekoev,No,76.7,53.4,26.0,0.0686,-330,No,No,-1.0
2025-05-03,Gaston Bolanos,Quang Le,Yes,48.1,60.5,4.8,0.2107,108,No,No,-1.0
2025-04-26,Ian Machado Garry,Carlos Prates,No,62.1,64.0,1.9,0.2802,-164,Yes,Yes,0.61
2025-04-26,Abus Magomedov,Michel Pereira,Yes,45.5,54.7,9.2,0.094,120,Yes,Yes,1.2
2025-04-26,Andre Muniz,Ikram Aliskerov,No,81.1,55.3,32.6,0.106,-430,No,No,-1.0
2025-04-26,Jimmy Flick,Matt Schnell,No,62.1,50.2,8.2,0.0034,-164,No,No,-1.0
2025-04-26,John Castaneda,Chris Gutierrez,No,59.7,55.7,11.5,0.1141,-148,No,No,-1.0
2025-04-05,Gerald Meerschaert,Brad Tavares,No,62.4,57.0,15.3,0.1398,-166,No,No,-1.0
2025-04-05,Rhys McKee,Daniel Frunza,Yes,49.0,66.9,17.9,0.3376,104,Yes,Yes,1.04
2025-03-29,Manuel Torres,Drew Dober,No,55.4,71.3,16.0,0.4262,-124,Yes,Yes,0.81
2025-03-29,CJ Vergara,Edgar Chairez,No,73.0,59.2,27.9,0.1833,-270,No,No,-1.0
2025-03-29,Raul Rosas Jr.,Vince Morales,No,82.8,83.5,0.7,0.6691,-480,Yes,Yes,0.21
2025-03-22,Sean Brady,Leon Edwards,No,56.9,58.8,1.9,0.1763,-132,Yes,Yes,0.76
2025-03-22,Kevin Holland,Gunnar Nelson,Yes,48.1,67.6,19.5,0.3524,108,Yes,Yes,1.08
2025-03-22,Chris Duncan,Jordan Vucenic,Yes,27.4,56.5,29.1,0.1299,265,Yes,Yes,2.65
2025-03-22,Nathaniel Wood,Morgan Charriere,Yes,50.5,54.2,3.7,0.0842,-102,Yes,Yes,0.98
2025-03-22,Chris Padilla,Jai Herbert,Yes,47.6,71.8,24.2,0.4367,110,Yes,Yes,1.1
2025-03-22,Mick Parkin,Marcin Tybura,Yes,41.3,74.3,11.6,0.4852,142,No,No,-1.0
2025-03-22,Puja Tomar,Shauna Bannon,No,67.7,53.2,17.0,0.0639,-210,No,No,-1.0
2025-03-22,Nathan Fletcher,Caolan Loughran,Yes,43.1,87.4,26.5,0.7483,132,No,No,-1.0
2025-03-15,Chidi Njokuani,Elizeu Zaleski dos Santos,Yes,37.9,52.8,14.9,0.0557,164,Yes,Yes,1.64
2025-03-01,Cody Brundage,Julian Marquez,No,53.7,66.0,12.3,0.3206,-116,Yes,Yes,0.86
2025-03-01,William Gomis,Hyder Amil,Yes,36.2,69.4,1.6,0.3871,176,No,No,-1.0
2025-02-22,Jean Matsumoto,Rob Font,Yes,37.3,72.9,6.2,0.4577,168,No,No,-1.0
2025-02-22,Julius Walker,Alonzo Menifield,No,70.1,69.0,35.0,0.38,-235,No,No,-1.0
2025-02-22,Ibo Aslan,Ion Cutelaba,Yes,35.7,71.6,3.3,0.4319,180,No,No,-1.0
2025-02-22,Melquizael Costa,Andre Fili,No,58.7,62.9,4.3,0.2586,-142,Yes,Yes,0.7
2025-02-22,Austin Vanderford,Nikolay Veretennikov,Yes,49.5,63.0,13.5,0.2605,102,Yes,Yes,1.02
2025-02-15,Gregory Rodrigues,Jared Cannonier,Yes,34.0,75.3,4.7,0.5054,194,No,No,-1.0
2025-02-15,Andre Petroski,Rodolfo Vieira,Yes,31.2,61.7,30.4,0.2334,220,Yes,Yes,2.2
2025-02-08,Dricus Du Plessis,Sean Strickland,No,68.8,70.0,1.3,0.4005,-220,Yes,Yes,0.45
2025-02-08,Tatiana Suarez,Zhang Weili,Yes,44.6,61.5,2.1,0.2292,124,No,No,-1.0
2025-02-08,Tallison Teixeira,Justin Tafa,No,60.9,72.3,11.4,0.4459,-156,Yes,Yes,0.64
2025-02-08,Jack Jenkins,Gabriel Santos,No,69.2,55.3,20.5,0.1051,-225,No,No,-1.0
2025-02-08,Tom Nolan,Viacheslav Borshchev,Yes,50.5,72.5,22.0,0.4495,-102,Yes,Yes,0.98
2025-02-08,Rongzhu,Kody Steele,Yes,26.3,63.4,37.1,0.2687,280,Yes,Yes,2.8
2025-02-08,Jonathan Micallef,Kevin Jousset,Yes,35.7,53.6,17.9,0.073,180,Yes,Yes,1.8
2025-02-01,Nassourdine Imavov,Israel Adesanya,Yes,42.7,64.5,21.7,0.2892,134,Yes,Yes,1.34
2025-02-01,Jairzinho Rozenstruik,Sergei Pavlovich,No,76.2,54.1,26.4,0.0826,-320,No,No,-1.0
2025-02-01,Vinicius Oliveira,Said Nurmagomedov,Yes,34.7,53.1,18.4,0.0617,188,Yes,Yes,1.88
2025-02-01,Fares Ziam,Mike Davis,Yes,45.0,77.2,32.1,0.5437,122,Yes,Yes,1.22
2025-02-01,Bogdan Grad,Lucas Alexander,Yes,48.1,50.4,2.3,0.0081,108,Yes,Yes,1.08
2025-01-18,Merab Dvalishvili,Umar Nurmagomedov,Yes,31.2,63.3,32.1,0.2668,220,Yes,Yes,2.2
2025-01-18,Jamahal Hill,Jiri Prochazka,Yes,49.5,55.2,0.7,0.1049,102,No,No,-1.0
2025-01-18,Reinier de Ridder,Kevin Holland,No,57.6,65.4,7.8,0.3079,-136,Yes,Yes,0.74
2025-01-18,Ailin Perez,Karol Rosa,Yes,32.8,65.5,32.7,0.3099,205,Yes,Yes,2.05
2025-01-18,Clayton Carpenter,Tagir Ulanbekov,No,79.6,58.6,34.3,0.1729,-390,No,No,-1.0
2025-01-11,Carlston Harris,Santiago Ponzinibbio,No,60.6,59.9,16.4,0.1975,-154,No,No,-1.0
2025-01-11,Christian Rodriguez,Austin Bashi,Yes,31.7,65.3,33.5,0.3056,215,Yes,Yes,2.15
2025-01-11,Uros Medic,Punahele Soriano,Yes,33.6,71.3,0.7,0.4259,198,No,No,-1.0
