Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-11-22,Shamil Gaziev,Waldo Cortes Acosta,Yes,44.2,56.4,12.2,0.1289,126,No,No,-1.0
2025-11-22,Bogdan Grad,Luke Riley,Yes,32.8,69.6,36.9,0.3928,205,No,No,-1.0
2025-11-22,Nicolas Dalby,Saygid Izagakhmaev,Yes,27.0,50.6,23.5,0.0115,270,Yes,Yes,2.7
2025-11-22,Ismail Naurdiev,Ryan Loder,Yes,48.5,58.1,2.7,0.1617,106,Yes,Yes,1.06
2025-11-22,Nurullo Aliev,Shem Rock,No,76.2,77.9,1.7,0.5584,-320,Yes,Yes,0.31
2025-11-22,Marek Bujlo,Denzel Freeman,Yes,34.5,58.2,23.7,0.1642,190,No,No,-1.0
2025-11-15,Zhang Weili,Valentina Shevchenko,Yes,45.5,62.4,16.9,0.2474,120,No,No,-1.0
2025-11-15,Michael Morales,Sean Brady,Yes,43.9,71.5,27.6,0.4291,128,Yes,Yes,1.28
2025-11-15,Carlos Prates,Leon Edwards,Yes,43.5,62.4,1.7,0.247,130,Yes,Yes,1.3
2025-11-08,Muslim Salikhov,Uros Medic,Yes,47.6,51.8,4.2,0.0358,110,No,No,-1.0
2025-11-08,Christian Leroy Duncan,Marco Tulio,Yes,41.7,54.8,13.2,0.0964,140,Yes,Yes,1.4
2025-11-01,Steve Garcia,David Onama,Yes,45.9,66.5,8.6,0.3309,118,Yes,Yes,1.18
2025-11-01,Waldo Cortes Acosta,Ante Delija,Yes,47.6,51.1,3.5,0.0228,110,Yes,Yes,1.1
2025-11-01,Themba Gorimbo,Jeremiah Wells,Yes,43.1,64.5,2.1,0.2904,132,No,No,-1.0
2025-11-01,Yadier del Valle,Isaac Dulgarian,Yes,44.6,62.9,18.3,0.2584,124,Yes,Yes,1.24
2025-11-01,Cody Durden,Allan Nascimento,Yes,28.6,53.2,24.6,0.0634,250,No,No,-1.0
2025-11-01,Seokhyeon Ko,Phil Rowe,Yes,39.7,66.5,2.2,0.3305,152,Yes,Yes,1.52
2025-11-01,Ariane Carnelossi,Talita Alencar,Yes,34.7,55.5,20.8,0.1107,188,No,No,-1.0
2025-10-25,Virna Jandiroba,Mackenzie Dern,Yes,46.7,56.5,9.8,0.1303,114,No,No,-1.0
2025-10-25,Azamat Murzakanov,Aleksandar Rakic,Yes,50.0,59.3,9.3,0.187,100,Yes,Yes,1.0
2025-10-25,Quillan Salkilld,Nasrat Haqparast,No,54.5,75.1,20.6,0.5023,-120,Yes,Yes,0.83
2025-10-25,Mateusz Rebecki,Ludovit Klein,Yes,48.1,50.5,2.4,0.0098,108,No,No,-1.0
2025-10-25,Mitch Raposo,Azat Maksum,Yes,20.6,54.0,33.3,0.0791,385,Yes,Yes,3.85
2025-10-18,Marlon Vera,Aiemann Zahabi,Yes,47.2,51.4,4.2,0.0276,112,No,No,-1.0
2025-10-18,Jasmine Jasudavicius,Manon Fiorot,Yes,34.5,53.9,19.5,0.0787,190,No,No,-1.0
2025-10-18,Kyle Nelson,Matt Frevola,Yes,47.2,59.1,2.2,0.1827,112,Yes,Yes,1.12
2025-10-18,Tainara Lisboa,Melissa Croden,Yes,47.2,66.4,19.3,0.3286,112,No,No,-1.0
2025-10-04,Alex Pereira,Magomed Ankalaev,Yes,32.8,61.9,29.1,0.238,205,Yes,Yes,2.05
2025-10-04,Jiri Prochazka,Khalil Rountree Jr.,No,66.0,74.1,8.1,0.4822,-194,Yes,Yes,0.52
2025-10-04,Jakub Wiklacz,Patchy Mix,Yes,26.3,52.8,26.5,0.0568,280,Yes,Yes,2.8
2025-09-27,Neil Magny,Jake Matthews,Yes,27.8,50.6,22.8,0.0121,260,Yes,Yes,2.6
2025-09-27,Colby Thicknesse,Josias Musasa,Yes,42.7,52.5,9.8,0.0503,134,Yes,Yes,1.34
2025-09-27,Luana Carolina,Michelle Montague,Yes,36.2,64.7,28.5,0.2946,176,No,No,-1.0
2025-09-13,David Martinez,Rob Font,Yes,48.1,68.3,20.2,0.3651,108,Yes,Yes,1.08
2025-09-13,Jared Gordon,Rafa Garcia,Yes,43.5,50.5,7.0,0.0094,130,No,No,-1.0
2025-09-13,Dustin Stoltzfus,Kelvin Gastelum,Yes,43.5,52.3,8.8,0.0455,130,No,No,-1.0
2025-09-06,Nassourdine Imavov,Caio Borralho,Yes,47.2,50.5,3.3,0.009,112,Yes,Yes,1.12
2025-09-06,Bolaji Oki,Mason Jones,Yes,44.2,56.9,12.7,0.138,126,No,No,-1.0
2025-09-06,William Gomis,Robert Ruchala,No,73.0,80.0,7.1,0.6009,-270,Yes,Yes,0.37
2025-09-06,Kaue Fernandes,Harry Hardwick,No,67.7,85.6,17.8,0.7111,-210,Yes,Yes,0.48
2025-09-06,Andreas Gustafsson,Rinat Fakhretdinov,Yes,47.2,61.5,4.6,0.2303,112,No,No,-1.0
2025-09-06,Shauna Bannon,Sam Hughes,Yes,30.8,53.0,22.3,0.0606,225,No,No,-1.0
2025-08-16,Carlos Prates,Geoff Neal,No,66.7,73.6,6.9,0.4714,-200,Yes,Yes,0.5
2025-08-16,Karine Silva,Dione Barbosa,No,66.7,71.7,5.0,0.4339,-200,Yes,Yes,0.5
2025-08-16,Joseph Morales,Alibi Idiris,Yes,20.6,61.8,41.2,0.2357,385,Yes,Yes,3.85
