date,main_fight_id,fighter1,fighter2,odds1,odds2,prob1,prob2,pick,pick_odds,pick_prob,ev1,ev2,winner,pick_correct,actual_pnl,bet,skip_reason,error,female
2025-06-08,,Mario Bautista,Patrick Mix,146,-174,,,,,,,,,,,False,min_fights,True,
2025-06-08,271.0,Kevin Holland,Vicente Luque,-180,152,0.6867703497409821,0.31322965025901794,Kevin Holland,-180.0,0.6867703497409821,0.06830943293041652,-0.2106612813472748,Kevin Holland,True,0.5555555555555556,False,edge (4.4% < 5.0%),False,False
2025-06-08,8506.0,Bruno Silva,Joshua van,520,-720,0.24824268370866776,0.7517573162913322,Joshua van,-720.0,0.7517573162913322,0.5391046389937402,-0.1438319453348716,Joshua Van,True,0.1388888888888889,False,favorite cap (-720 <= -300),False,False
2025-06-08,273.0,Azamat Murzakanov,Brendson Ribeiro,-620,460,0.6859405040740967,0.3140594959259033,Azamat Murzakanov,-620.0,0.6859405040740967,-0.2034239307526619,0.7587331771850585,Azamat Murzakanov,True,0.16129032258064516,False,favorite cap (-620 <= -300),False,False
2025-06-08,274.0,Serghei Spivac,Waldo Cortes-Acosta,-168,142,0.569381445646286,0.430618554353714,Serghei Spivac,-168.0,0.569381445646286,-0.09170102718330564,0.042096901535987774,Waldo Cortes Acosta,False,-1.0,False,favorite confidence (56.9% < 65.0%),False,False
2025-06-08,275.0,Andreas Gustafsson,Khaos Williams,158,-188,0.7058022916316986,0.2941977083683014,Andreas Gustafsson,158.0,0.7058022916316986,0.8209699124097825,-0.5493141488826021,Andreas Gustafsson,True,1.58,False,min_fights,False,False
2025-06-29,231.0,Charles Oliveira,Ilia Topuria,320,-405,0.17653662711381912,0.8234633728861809,Ilia Topuria,-405.0,0.8234633728861809,-0.2585461661219597,0.026787662487707004,Ilia Topuria,True,0.24691358024691357,False,favorite cap (-405 <= -300),False,False
2025-06-29,232.0,Alexandre Pantoja,Kai Kara-France,-250,205,0.5770001262426376,0.42299987375736237,Alexandre Pantoja,-250.0,0.5770001262426376,-0.1921998232603073,0.29014961495995517,Alexandre Pantoja,True,0.4,False,favorite confidence (57.7% < 65.0%),False,False
2025-06-29,235.0,Felipe Lima,Payton Talbott,-174,146,0.5556773245334625,0.4443226754665375,Felipe Lima,-174.0,0.5556773245334625,-0.12496789125190388,0.09303378164768217,Payton Talbott,False,-1.0,False,favorite confidence (55.6% < 65.0%),False,False
2025-06-29,234.0,Beneil Dariush,Renato Moicano,-112,-104,0.5489499121904373,0.4510500878095627,Beneil Dariush,-112.0,0.5489499121904373,0.039083762360470675,-0.11524790468124241,Beneil Dariush,True,0.8928571428571429,False,favorite confidence (54.9% < 65.0%),False,False
2025-06-29,233.0,Brandon Royval,Joshua van,102,-120,0.31794723868370056,0.6820527613162994,Joshua van,-120.0,0.6820527613162994,-0.3577465778589249,0.25043006241321564,Joshua Van,True,0.8333333333333334,True,,False,False
2025-06-29,237.0,Hyder Amil,Jose Delgado,116,-136,0.43073800206184387,0.5692619979381561,Jose Delgado,-136.0,0.5692619979381561,-0.06960591554641726,-0.012163003577905507,Jose Delgado,True,0.7352941176470589,False,favorite confidence (56.9% < 65.0%),False,False
2025-06-29,236.0,Gregory Rodrigues,Jack Hermansson,-205,172,0.5945593565702438,0.40544064342975616,Gregory Rodrigues,-205.0,0.5945593565702438,-0.11541168900524701,0.1027985501289368,Gregory Rodrigues,True,0.4878048780487805,False,favorite confidence (59.5% < 65.0%),False,False
2025-06-29,239.0,Terrance McKinney,Viacheslav Borshchev,-172,144,0.7178385555744171,0.2821614444255829,Terrance McKinney,-172.0,0.7178385555744171,0.1351865530014038,-0.3115260756015778,Terrance McKinney,True,0.5813953488372093,True,,False,False
2025-06-29,238.0,Tracy Cortez,Viviane Araujo,-210,176,0.7192495763301849,0.28075042366981506,Tracy Cortez,-210.0,0.7192495763301849,0.06174937458265395,-0.2251288306713104,Tracy Cortez,True,0.47619047619047616,False,edge (4.2% < 5.0%),False,True
2025-07-20,6614.0,Dustin Poirier,Max Holloway,-104,-122,0.38521958887577057,0.6147804111242294,Max Holloway,-122.0,0.6147804111242294,-0.24437696028214234,0.11869878089818797,Dustin Poirier,False,-1.0,False,favorite confidence (61.5% < 65.0%),False,False
2025-07-20,214.0,Adam Fugitt,Islam Dulatov,320,-460,0.20463215559720993,0.7953678444027901,Islam Dulatov,-460.0,0.7953678444027901,-0.14054494649171823,-0.03172610246616861,Islam Dulatov,True,0.21739130434782608,False,min_fights,False,False
2025-07-20,211.0,Brendan Allen,Marvin Vettori,-265,200,0.6317039728164673,0.3682960271835327,Brendan Allen,-265.0,0.6317039728164673,-0.12991716951694127,0.10488808155059814,Brendan Allen,True,0.37735849056603776,False,favorite confidence (63.2% < 65.0%),False,False
2025-07-20,,Gunnar Nelson,Neil Magny,-350,255,0.38600942492485046,0.6139905750751495,Neil Magny,255.0,0.6139905750751495,-0.5037021679537637,1.1796665415167809,,,,True,,False,False
2025-08-02,,Hyun Sung Park,Tatsuro Taira,270,-335,,,,,,,,,,,False,min_fights,True,
2025-08-02,182.0,Chris Duncan,Mateusz Rebecki,198,-240,0.5349884182214737,0.4650115817785263,Chris Duncan,198.0,0.5349884182214737,0.5942654862999917,-0.34123359248042107,Chris Duncan,True,1.98,True,,False,False
2025-08-02,183.0,Elves Brener,Esteban Ribovics,215,-260,0.45752839744091034,0.5424716025590897,Esteban Ribovics,-260.0,0.5424716025590897,0.44121445193886755,-0.248885473379722,Esteban Ribovics,True,0.38461538461538464,False,favorite confidence (54.2% < 65.0%),False,False
2025-08-02,184.0,Karol Rosa,Nora Cornolle,-158,132,0.5660444051027298,0.4339555948972702,Karol Rosa,-158.0,0.5660444051027298,-0.07569964230060577,0.006776980161666946,Karol Rosa,True,0.6329113924050633,False,favorite confidence (56.6% < 65.0%),False,True
2025-08-02,,Elizeu Zaleski,Neil Magny,-158,134,0.32056403160095215,0.6794359683990479,Neil Magny,134.0,0.6794359683990479,-0.47654734080350847,0.589880166053772,,,,True,,False,False
2025-08-02,186.0,Danny Silva,Kevin Vallejos,300,-375,0.3802785277366638,0.6197214722633362,Kevin Vallejos,-375.0,0.6197214722633362,0.5211141109466553,-0.21501946846644085,Kevin Vallejos,True,0.26666666666666666,False,min_fights,False,False
