strategy,n,accuracy,profit,roi,actual_upset_rate,upset_det
A_general_all,297,0.6835016835016835,3425.3830873355455,11.533276388335171,1.0,0.6835016835016835
B_general_underdogs,202,0.7475247524752475,4062.626906343108,20.112014387837167,0.28217821782178215,0.3333333333333333
C_blended_underdogs,202,0.8960396039603961,13586.970670490478,67.26223104203207,0.28217821782178215,0.8070175438596491
D_blended_edge_gate,115,0.8521739130434782,10519.001861673592,91.46958140585733,0.4608695652173913,0.8679245283018868
