date,main_fight_id,fighter1,fighter2,odds1,odds2,prob1,prob2,pick,pick_odds,pick_prob,ev1,ev2,winner,pick_correct,actual_pnl,bet,skip_reason,error,female,odds_source_file,odds_source_line,odds_source_type,odds_source_row,source_event_id,source_url,scraped_at,bookmaker,odds_timestamp,odds_is_opening_line,odds_is_closing_line
2026-01-25,,Justin Gaethje,Paddy Pimblett,200,-245,0.31744155287742615,0.6825584471225739,Paddy Pimblett,-245.0,0.6825584471225739,-0.04767534136772156,-0.038846268337600076,Justin Gaethje,False,-1.0,False,edge (-2.8% < 5.0%),False,False,backtest/odds/ufc_2026_odds_custom.csv,2,,,,,,,,,
2026-01-25,,Sean Omalley,Song Yadong,-225,185,0.5370831340551376,0.46291686594486237,Sean Omalley,-225.0,0.5370831340551376,-0.22421325080924565,0.31931306794285774,Sean O'Malley,True,0.4444444444444444,False,favorite confidence (53.7% < 65.0%),False,False,backtest/odds/ufc_2026_odds_custom.csv,3,,,,,,,,,
2026-01-25,,Derrick Lewis,Waldo Cortes-Acosta,250,-333,0.26882581412792206,0.7311741858720779,Waldo Cortes-Acosta,-333.0,0.7311741858720779,-0.0591096505522728,-0.049253986538709466,Waldo Cortes Acosta,True,0.3003003003003003,False,favorite cap (-333 <= -300),False,False,backtest/odds/ufc_2026_odds_custom.csv,4,,,,,,,,,
2026-01-25,,Natalia Silva,Rose Namajunas,-330,250,0.7225177139043808,0.2774822860956192,Natalia Silva,-330.0,0.7225177139043808,-0.0585375243064129,-0.028811998665332794,Natalia Silva,True,0.30303030303030304,False,favorite cap (-330 <= -300),False,True,backtest/odds/ufc_2026_odds_custom.csv,5,,,,,,,,,
2026-01-25,,Arnold Allen,Jean Silva,184,-220,0.4327344000339508,0.5672655999660492,Jean Silva,-220.0,0.5672655999660492,0.22896569609642037,-0.174886400049383,Jean Silva,True,0.45454545454545453,False,favorite confidence (56.7% < 65.0%),False,False,backtest/odds/ufc_2026_odds_custom.csv,6,,,,,,,,,
2026-01-25,,Deiveson Figueiredo,Umar Nurmagomedov,870,-1600,0.1522187516093254,0.8477812483906746,Umar Nurmagomedov,-1600.0,0.8477812483906746,0.47652189061045647,-0.09923242358490825,Umar Nurmagomedov,True,0.0625,False,favorite cap (-1600 <= -300),False,False,backtest/odds/ufc_2026_odds_custom.csv,7,,,,,,,,,
2026-01-25,,Andrey Pulyaev,Ateba Gautier,660,-1000,0.3159828186035156,0.6840171813964844,Ateba Gautier,-1000.0,0.6840171813964844,1.4014694213867185,-0.24758110046386717,Ateba Gautier,True,0.1,False,favorite cap (-1000 <= -300),False,False,backtest/odds/ufc_2026_odds_custom.csv,8,,,,,,,,,
2026-01-25,,Modestas Bukauskas,Nikita Krylov,-134,112,0.5162593871355057,0.4837406128644943,Modestas Bukauskas,-134.0,0.5162593871355057,-0.09847241350963931,0.02553009927272798,Nikita Krylov,False,-1.0,False,favorite confidence (51.6% < 65.0%),False,False,backtest/odds/ufc_2026_odds_custom.csv,9,,,,,,,,,
2026-01-25,,Alex Perez,Charles Johson,154,-180,0.4896847605705261,0.5103152394294739,Charles Johson,-180.0,0.5103152394294739,0.2437992918491364,-0.2061762942208184,Alex Perez,False,-1.0,False,favorite confidence (51.0% < 65.0%),False,False,backtest/odds/ufc_2026_odds_custom.csv,10,,,,,,,,,
2026-01-25,,Amanda Nunes,Kayla Harrison,170,-205,0.27661222219467163,0.7233877778053284,Kayla Harrison,-205.0,0.7233877778053284,-0.2531470000743866,0.0762598645396349,,,,True,,False,False,backtest/odds/ufc_2026_odds_custom.csv,11,,,,,,,,,
2026-02-01,,Lawrence Lui,Sulangrangbo,220,-278,0.43824079632759094,0.5617592036724091,Sulangrangbo,-278.0,0.5617592036724091,0.4023705482482911,-0.23616914033032152,Lawrence Lui,False,-1.0,False,min_fights,False,False,backtest/odds/ufc_2026_odds_custom.csv,12,,,,,,,,,
