event_date,f1_name,f2_name,weight_class,model_prob_f1,model_prob_f2,base_confidence,adjusted_confidence,prediction_correct,fighter1_odds,fighter2_odds,is_favorite,f1_top1_striking_volume_control,f1_top2_striking_differential,f1_top3_striking_accuracy,f2_top1_striking_volume_control,f2_top2_avg_beaten_opponent_win_rate,f2_top3_recent_control_time_diff_last_3
2025-08-02,Austin Bashi,John Yannis,Featherweight,0.880080621689558,0.11991937831044197,0.7601612433791161,0.7601612433791161,True,-1150,730,True,0.5227272727272728,-1.3999999999999997,0.46,0.0,0.0,0.0
2025-08-09,Elijah Smith,Toshiomi Kazama,Bantamweight,0.8437836915254593,0.1562163084745407,0.6875673830509186,0.6875673830509186,True,-820,570,True,1.0,0.0,0.4123711340206185,0.289855072463768,0.0,35.333333333333336
2025-08-02,Felipe Bunes,Rafael Estevam,Flyweight,0.17926010489463806,0.8207398951053619,0.6414797902107239,0.6414797902107239,True,490,-670,False,0.5454545454545455,-2.25,0.4175824175824176,0.2710280373831775,0.5727272727272728,504.0
2025-11-22,Arman Tsarukyan,Dan Hooker,Lightweight,0.8769551478326321,0.12304485216736794,0.7539102956652641,0.6408237513154745,True,-750,530,True,2.4342955622576476,2.017575757575758,0.5190862347878897,1.08447888027993,0.6025641025641025,26.666666666666668
2025-01-18,Jailton Almeida,Serghei Spivac,Heavyweight,0.8267893716692924,0.17321062833070755,0.6535787433385849,0.6367016013638958,True,-450,350,True,6.937931034482758,2.1525,0.5873484262125903,0.8873096446700507,0.6190476190476191,45.333333333333336
2025-12-06,Antonio Trocoli,Mansur Abdul-Malik,Middleweight,0.18295425921678543,0.8170457407832146,0.6340914815664291,0.6340914815664291,True,980,-1800,False,0.2417582417582418,-2.3,0.4352941176470588,1.9197530864197536,0.2,-18.666666666666668
2025-02-01,Damir Hadzovic,Terrance McKinney,Lightweight,0.17356640845537186,0.8264335915446281,0.6528671830892563,0.6232671574647958,True,430,-590,False,0.9973614775725592,-0.0074074074074075,0.4574051526871956,2.1818181818181817,0.125,5.0
2025-11-15,Angela Hill,Fatima Kline,Women's Strawweight,0.13358282297849655,0.8664171770215034,0.7328343540430069,0.6193864027185111,True,440,-590,False,1.1127413520811047,0.5269047619047624,0.491572059935515,1.795321637426901,0.4166666666666666,-66.66666666666667
2025-09-06,Brendson Ribeiro,Oumar Sy,Light Heavyweight,0.18911278247833252,0.8108872175216675,0.621774435043335,0.6158148952808412,True,420,-560,False,0.6705202312138729,-1.1399999999999997,0.4315535949585657,1.850746268656716,0.3888888888888888,212.0
2025-08-09,Joselyne Edwards,Priscila Cachoeira,Women's Bantamweight,0.7940229177474976,0.20597708225250244,0.5880458354949951,0.5880458354949951,True,-420,330,True,1.509803921568627,1.5599999999999987,0.5467451874186354,0.6410810810810811,0.5,-404.0
2025-10-04,Josh Emmett,Youssef Zalal,Featherweight,0.1827332228422165,0.8172667771577835,0.634533554315567,0.5685584073850278,True,360,-460,False,0.8923643054277829,-0.4159999999999999,0.3565965710123742,1.7303370786516856,0.4821969696969697,28.666666666666668
2025-08-09,Gabriella Fernandes,Julija Stoliarenko,Women's Flyweight,0.7799026370048523,0.2200973629951477,0.5598052740097046,0.5598052740097046,True,-450,350,True,0.6112852664576802,-2.0666666666666673,0.4418197926807735,0.5400843881856541,0.5,-64.66666666666667
2025-10-25,Chris Barnett,Hamdy Abdelwahab,Heavyweight,0.16566520929336548,0.8343347907066345,0.668669581413269,0.5450843616357581,True,340,-430,False,0.5862068965517242,-2.32,0.4554723427832671,0.7772277227722774,0.5,151.66666666666666
2025-03-22,Carlos Ulberg,Jan Blachowicz,Light Heavyweight,0.8110692128539085,0.18893078714609146,0.6221384257078171,0.540711668708927,True,-330,265,True,1.8916408668730649,2.4,0.6115505368856977,1.2201822744683664,0.0,-168.66666666666666
2025-10-25,Mario Bautista,Umar Nurmagomedov,Bantamweight,0.23193088918924332,0.7680691108107567,0.5361382216215134,0.5361382216215134,True,460,-620,False,1.4004893964110932,1.3638888888888894,0.4861542380297652,2.7756448710257957,0.59375,302.0
2025-11-01,Donte Johnson,Sedriques Dumas,Middleweight,0.8720833957195282,0.1279166042804718,0.7441667914390564,0.5336294640838867,True,-350,280,True,2.0,0.5,0.5555555555555556,0.5730550284629982,0.2948717948717949,65.0
