Date,Predicted Winner,Opponent,Is Underdog,Market Prob %,Model Prob %,Edge %,Confidence,Odds,Won?,Correct?,Profit/Loss
2025-11-22,Ian Machado Garry,Belal Muhammad,No,74.4,76.8,2.5,0.5362,-290,Yes,Yes,0.34
2025-11-22,Shamil Gaziev,Waldo Cortes Acosta,No,59.7,55.7,11.5,0.1148,-148,No,No,-1.0
2025-11-22,Bogdan Grad,Luke Riley,No,71.4,61.6,28.9,0.2328,-250,No,No,-1.0
2025-11-22,Aleksandre Topuria,Bekzat Almakhan,No,58.0,68.4,10.4,0.3672,-138,Yes,Yes,0.72
2025-11-22,Ismail Naurdiev,Ryan Loder,No,55.4,63.1,7.7,0.2619,-124,Yes,Yes,0.81
2025-11-22,Marek Bujlo,Denzel Freeman,No,69.7,60.7,26.2,0.2146,-230,No,No,-1.0
2025-11-15,Zhang Weili,Valentina Shevchenko,No,58.7,60.4,14.9,0.2079,-142,No,No,-1.0
2025-11-15,Michael Morales,Sean Brady,Yes,43.9,67.5,23.7,0.3507,128,Yes,Yes,1.28
2025-11-08,Christian Leroy Duncan,Marco Tulio,Yes,41.7,56.2,14.6,0.1248,140,Yes,Yes,1.4
2025-11-01,Steve Garcia,David Onama,No,58.0,68.6,10.6,0.3725,-138,Yes,Yes,0.72
2025-11-01,Waldo Cortes Acosta,Ante Delija,Yes,47.6,57.0,9.4,0.1396,110,Yes,Yes,1.1
2025-11-01,Themba Gorimbo,Jeremiah Wells,Yes,43.1,72.5,10.1,0.4493,132,No,No,-1.0
2025-11-01,Yadier del Valle,Isaac Dulgarian,Yes,44.6,55.3,10.6,0.1058,124,Yes,Yes,1.24
2025-11-01,Norma Dumont,Ketlen Vieira,No,63.5,69.8,6.3,0.3951,-174,Yes,Yes,0.57
2025-11-01,Seokhyeon Ko,Phil Rowe,No,64.3,75.9,11.6,0.5176,-180,Yes,Yes,0.56
2025-11-01,Ariane Carnelossi,Talita Alencar,No,69.2,50.2,15.5,0.0036,-225,No,No,-1.0
2025-10-25,Virna Jandiroba,Mackenzie Dern,No,57.3,64.0,17.2,0.2795,-134,No,No,-1.0
2025-10-25,Azamat Murzakanov,Aleksandar Rakic,Yes,50.0,57.4,7.4,0.1482,100,Yes,Yes,1.0
2025-10-25,Quillan Salkilld,Nasrat Haqparast,No,54.5,77.7,23.1,0.5538,-120,Yes,Yes,0.83
2025-10-25,JunYong Park,Ikram Aliskerov,No,69.7,62.1,27.6,0.2424,-230,No,No,-1.0
2025-10-25,Mateusz Rebecki,Ludovit Klein,No,55.8,51.0,2.9,0.0196,-126,No,No,-1.0
2025-10-25,Nathaniel Wood,Jose Delgado,Yes,42.4,52.0,9.6,0.0396,136,Yes,Yes,1.36
2025-10-18,Kevin Holland,Mike Malott,Yes,51.5,58.2,5.8,0.1637,-106,No,No,-1.0
2025-10-18,Marlon Vera,Aiemann Zahabi,No,56.9,50.4,3.2,0.0077,-132,No,No,-1.0
2025-10-18,Davey Grant,Charles Jourdain,No,65.5,53.0,14.6,0.0602,-190,No,No,-1.0
2025-10-18,HyunSung Park,Bruno Silva,Yes,34.7,71.6,2.4,0.4317,188,No,No,-1.0
2025-10-18,Melissa Croden,Tainara Lisboa,No,56.9,57.0,0.1,0.1391,-132,Yes,Yes,0.76
2025-10-11,Mateusz Gamrot,Charles Oliveira,No,51.9,63.3,11.4,0.2659,-108,No,No,-1.0
2025-10-04,Alex Pereira,Magomed Ankalaev,Yes,32.8,60.3,27.5,0.2054,205,Yes,Yes,2.05
2025-10-04,Jiri Prochazka,Khalil Rountree Jr.,No,66.0,74.4,8.4,0.4883,-194,Yes,Yes,0.52
2025-10-04,Jakub Wiklacz,Patchy Mix,Yes,26.3,67.6,41.3,0.3529,280,Yes,Yes,2.8
2025-09-27,Neil Magny,Jake Matthews,Yes,27.8,53.5,25.7,0.0697,260,Yes,Yes,2.6
2025-09-27,Charlie Campbell,Tom Nolan,No,61.2,59.8,17.0,0.1951,-158,No,No,-1.0
2025-09-27,Navajo Stirling,Rodolfo Bellato,No,73.0,73.6,0.6,0.4723,-270,Yes,Yes,0.37
2025-09-27,Cam Rowston,Andre Petroski,Yes,40.7,54.2,13.6,0.0849,146,Yes,Yes,1.46
2025-09-27,Rolando Bedoya,Jamie Mullarkey,No,57.3,54.8,8.1,0.0968,-134,No,No,-1.0
2025-09-27,Colby Thicknesse,Josias Musasa,Yes,42.7,50.7,7.9,0.0136,134,Yes,Yes,1.34
2025-09-27,Luana Carolina,Michelle Montague,No,67.7,66.8,30.5,0.3353,-210,No,No,-1.0
2025-09-13,David Martinez,Rob Font,Yes,48.1,63.5,15.4,0.2697,108,Yes,Yes,1.08
2025-09-13,Jared Gordon,Rafa Garcia,No,56.5,59.5,16.0,0.1902,-130,No,No,-1.0
2025-09-13,Dustin Stoltzfus,Kelvin Gastelum,No,56.5,51.1,7.6,0.0222,-130,No,No,-1.0
2025-09-06,Caio Borralho,Nassourdine Imavov,Yes,47.2,60.5,3.6,0.2104,112,No,No,-1.0
2025-09-06,Axel Sola,Rhys McKee,No,57.6,68.5,10.9,0.3696,-136,Yes,Yes,0.74
2025-09-06,William Gomis,Robert Ruchala,No,73.0,81.0,8.0,0.6194,-270,Yes,Yes,0.37
2025-09-06,Marcin Tybura,Ante Delija,Yes,50.5,56.2,2.5,0.1238,-102,No,No,-1.0
2025-09-06,Kaue Fernandes,Harry Hardwick,No,67.7,84.5,16.7,0.6896,-210,Yes,Yes,0.48
2025-09-06,Trey Waters,Sam Patterson,No,66.0,55.4,17.3,0.1088,-194,No,No,-1.0
2025-09-06,Brad Tavares,Robert Bryczek,Yes,37.3,71.3,4.7,0.4264,168,No,No,-1.0
2025-09-06,Andreas Gustafsson,Rinat Fakhretdinov,Yes,47.2,71.6,14.7,0.4322,112,No,No,-1.0
2025-08-16,Carlos Prates,Geoff Neal,No,66.7,70.7,4.0,0.4132,-200,Yes,Yes,0.5
2025-08-16,Drakkar Klose,Edson Barboza,Yes,51.0,53.5,2.5,0.0692,-104,Yes,Yes,0.96
2025-08-16,Karine Silva,Dione Barbosa,No,66.7,68.6,1.9,0.372,-200,Yes,Yes,0.5
2025-08-09,Iasmin Lucindo,Angela Hill,No,63.2,73.8,10.6,0.4758,-172,Yes,Yes,0.58
2025-08-09,Christian Rodriguez,Andre Fili,Yes,32.8,78.3,6.9,0.5662,205,No,No,-1.0
2025-08-09,Cody Brundage,Eric McConico,Yes,34.5,70.3,0.6,0.4059,190,No,No,-1.0
2025-08-02,Danny Silva,Kevin Vallejos,No,78.9,52.3,27.3,0.046,-375,No,No,-1.0
2025-08-02,Nick Klein,Andrey Pulyaev,No,55.8,61.9,13.8,0.2384,-126,No,No,-1.0
2025-07-19,Max Holloway,Dustin Poirier,No,55.0,62.5,7.6,0.2507,-122,Yes,Yes,0.82
