event_date,f1_name,f2_name,weight_class,model_prob_f1,model_prob_f2,base_confidence,adjusted_confidence,prediction_correct,fighter1_odds,fighter2_odds,is_favorite,f1_top1_striking_differential,f1_top2_days_between_last_2_fights,f1_top3_reach_inches,f2_top1_striking_differential,f2_top2_sig_strikes_landed_per_min,f2_top3_striking_accuracy
2025-01-18,Payton Talbott,Raoni Barcelos,Bantamweight,0.8553245440125465,0.14467545598745346,0.7106490880250931,0.6040517248213291,False,-1200,750,True,2.911111111111111,98.0,70.0,0.2181818181818187,4.781818181818182,0.5218001138883386
2025-06-14,Alonzo Menifield,Oumar Sy,Light Heavyweight,0.2705632150173187,0.7294367849826813,0.45887356996536255,0.45887356996536255,False,490,-670,False,0.2155555555555555,203.0,76.0,1.7333333333333334,3.0,0.3
2025-10-11,Deiveson Figueiredo,Montel Jackson,Bantamweight,0.26513032615184784,0.7348696738481522,0.4697393476963043,0.4572786519866837,False,265,-330,False,-0.6428070175438592,161.0,68.0,1.3090909090909093,2.56969696969697,0.5590850860634355
2025-01-18,Muin Gafurov,Rinya Nakamura,Bantamweight,0.2794133126735687,0.7205866873264313,0.44117337465286255,0.44117337465286255,False,530,-750,False,0.977777777777778,245.0,68.0,1.511111111111111,2.3777777777777778,0.5381453634085213
2025-02-15,Gregory Rodrigues,Jared Cannonier,Middleweight,0.8110416382551193,0.18895836174488068,0.6220832765102386,0.42582977821952095,False,-240,194,True,1.1555555555555563,168.0,75.0,0.2677777777777774,3.763333333333333,0.5109453023811485
2025-12-06,Grant Dawson,Manuel Torres,Lightweight,0.7127629220485687,0.2872370779514313,0.42552584409713745,0.42552584409713745,False,-270,220,True,0.8589743589743593,98.0,72.0,1.3999999999999997,3.72,0.6562144322845417
2025-08-09,Cody Brundage,Eric McConico,Light Heavyweight,0.7029728889465332,0.2970271110534668,0.4059457778930664,0.39863486658243186,False,-230,190,True,-1.0722222222222215,105.0,72.0,-1.5,0.5,0.3846153846153846
2025-02-22,Alonzo Menifield,Julius Walker,Light Heavyweight,0.3027631938457489,0.6972368061542511,0.3944736123085022,0.3944736123085022,False,-235,194,True,0.2261904761904758,84.0,76.0,0.7999999999999998,4.333333333333333,0.6063006979815129
2025-02-22,Ibo Aslan,Ion Cutelaba,Light Heavyweight,0.718969389796257,0.281030610203743,0.43793877959251404,0.39007683498194373,False,-215,180,True,3.333333333333333,210.0,77.0,1.0529411764705885,3.42156862745098,0.4886374270220675
2025-08-09,Andre Fili,Christian Rodriguez,Featherweight,0.21688316017389297,0.783116839826107,0.566233679652214,0.3777021688581527,False,205,-250,False,-0.2041666666666661,238.0,74.0,0.4833333333333334,3.5,0.5198854346092703
